"","subject","type","item","condition","question","correct_answer","response","rt","group","disamb_type","z_scored_rt"
"19","L1 1","gap",9,"-0.5","0","-","-",7332,"L1","0.5",0.565685643628021
"35","L1 1","gap",1,"-0.5","0","-","-",3889,"L1","0.5",-0.604222443191308
"39","L1 1","gap",7,"-0.5","0","-","-",5502,"L1","0.5",-0.0561359651083637
"54","L1 1","gap",11,"-0.5","0","-","-",6100,"L1","0.5",0.147060385724619
"57","L1 1","gap",12,"0.5","0","-","-",5111,"L1","0.5",-0.188995117576083
"64","L1 1","gap",6,"0.5","0","-","-",4747,"L1","0.5",-0.312679852865725
"77","L1 1","gap",2,"0.5","0","-","-",5688,"L1","0.5",0.00706557545172792
"84","L1 1","gap",8,"0.5","0","-","-",4072,"L1","0.5",-0.54204028231767
"102","L1 1","gap",10,"0.5","0","-","-",6782,"L1","0.5",0.378799367778288
"107","L1 1","gap",3,"-0.5","0","-","-",9763,"L1","0.5",1.39172298288384
"154","L1 1","gap",4,"0.5","0","-","-",3525,"L1","0.5",-0.72790717848095
"167","L1 1","gap",5,"-0.5","0","-","-",6241,"L1","0.5",0.194971230987914
"198","L1 2","gap",10,"-0.5","0","-","-",7414,"L1","0.5",0.593548688391072
"219","L1 2","gap",1,"0.5","0","-","-",11766,"L1","0.5",2.07232882020569
"226","L1 2","gap",3,"0.5","0","-","-",9436,"L1","0.5",1.28061059706045
"233","L1 2","gap",6,"-0.5","0","-","-",4062,"L1","0.5",-0.545438214605847
"243","L1 2","gap",9,"0.5","0","-","-",5404,"L1","0.5",-0.0894357015324979
"248","L1 2","gap",4,"-0.5","0","-","-",5731,"L1","0.5",0.0216766842908889
"252","L1 2","gap",12,"-0.5","0","-","-",6163,"L1","0.5",0.168467359140134
"256","L1 2","gap",5,"0.5","0","-","-",5476,"L1","0.5",-0.0649705890576238
"271","L1 2","gap",11,"0.5","0","-","-",4505,"L1","0.5",-0.394909814239607
"320","L1 2","gap",8,"-0.5","0","-","-",5172,"L1","0.5",-0.168267730618204
"330","L1 2","gap",2,"-0.5","0","-","-",7103,"L1","0.5",0.487872994228769
"355","L1 2","gap",7,"0.5","0","-","-",8693,"L1","0.5",1.02814422804891
"374","L1 3","gap",11,"-0.5","0","-","-",10601,"L1","0.5",1.67646970863307
"387","L1 3","gap",6,"0.5","0","-","-",8487,"L1","0.5",0.958146822912461
"397","L1 3","gap",1,"-0.5","0","-","-",14887,"L1","0.5",3.13282348734572
"418","L1 3","gap",2,"0.5","0","-","-",13600,"L1","0.5",2.69550960185734
"432","L1 3","gap",3,"-0.5","0","-","-",25782,"L1","0.5",6.83487071531452
"439","L1 3","gap",9,"-0.5","0","-","-",17519,"L1","0.5",4.0271592655939
"451","L1 3","gap",8,"0.5","0","-","-",17162,"L1","0.5",3.90585308290598
"462","L1 3","gap",5,"-0.5","0","-","-",9094,"L1","0.5",1.1644013128048
"473","L1 3","gap",4,"0.5","0","-","-",12509,"L1","0.5",2.32479518921724
"488","L1 3","gap",7,"-0.5","0","-","-",17228,"L1","0.5",3.92827943600795
"505","L1 3","gap",10,"0.5","0","-","-",14964,"L1","0.5",3.15898756596468
"514","L1 3","gap",12,"0.5","0","-","-",12764,"L1","0.5",2.41144246256575
"587","L1 4","gap",12,"-0.5","0","-","-",3713,"L1","0.5",-0.664026051463223
"591","L1 4","gap",2,"-0.5","0","-","-",3192,"L1","0.5",-0.841058323677243
"616","L1 4","gap",1,"0.5","0","-","-",2971,"L1","0.5",-0.916152627245954
"620","L1 4","gap",5,"0.5","0","-","-",7482,"L1","0.5",0.616654627950676
"624","L1 4","gap",3,"0.5","0","-","-",8174,"L1","0.5",0.851791542292522
"634","L1 4","gap",8,"-0.5","0","-","-",4061,"L1","0.5",-0.545778007834665
"641","L1 4","gap",6,"-0.5","0","-","-",2655,"L1","0.5",-1.02352728755235
"684","L1 4","gap",9,"0.5","0","-","-",4095,"L1","0.5",-0.534225038054863
"690","L1 4","gap",10,"-0.5","0","-","-",2664,"L1","0.5",-1.02046914849299
"697","L1 4","gap",11,"0.5","0","-","-",2531,"L1","0.5",-1.06566164792574
"710","L1 4","gap",7,"0.5","0","-","-",3211,"L1","0.5",-0.834602252329707
"714","L1 4","gap",4,"-0.5","0","-","-",4365,"L1","0.5",-0.442480866274085
"734","L1 5","gap",1,"-0.5","0","-","-",3711,"L1","0.5",-0.664705637920858
"760","L1 5","gap",6,"0.5","0","-","-",2644,"L1","0.5",-1.02726501306934
"767","L1 5","gap",4,"0.5","0","-","-",4413,"L1","0.5",-0.426170791290835
"774","L1 5","gap",7,"-0.5","0","-","-",3500,"L1","0.5",-0.736402009201392
"783","L1 5","gap",8,"0.5","0","-","-",3645,"L1","0.5",-0.687131991022826
"786","L1 5","gap",9,"-0.5","0","-","-",3706,"L1","0.5",-0.666404604064947
"793","L1 5","gap",5,"-0.5","0","-","-",4295,"L1","0.5",-0.466266392291323
"800","L1 5","gap",11,"-0.5","0","-","-",3634,"L1","0.5",-0.690869716539821
"815","L1 5","gap",3,"-0.5","0","-","-",4025,"L1","0.5",-0.558010564072102
"855","L1 5","gap",10,"0.5","0","-","-",3298,"L1","0.5",-0.805040241422567
"890","L1 5","gap",12,"0.5","0","-","-",3812,"L1","0.5",-0.630386521810271
"893","L1 5","gap",2,"0.5","0","-","-",2847,"L1","0.5",-0.958286987619348
"925","L1 6","gap",9,"0.5","0","-","-",9864,"L1","0.5",1.42604209899443
"934","L1 6","gap",12,"-0.5","0","-","-",14759,"L1","0.5",3.08932995405705
"951","L1 6","gap",2,"-0.5","0","-","-",11332,"L1","0.5",1.92485855889881
"958","L1 6","gap",4,"-0.5","0","-","-",9367,"L1","0.5",1.25716486427203
"976","L1 6","gap",1,"0.5","0","-","-",5234,"L1","0.5",-0.147200550431506
"1004","L1 6","gap",7,"0.5","0","-","-",3369,"L1","0.5",-0.780914922176511
"1008","L1 6","gap",10,"-0.5","0","-","-",4274,"L1","0.5",-0.473402050096495
"1025","L1 6","gap",6,"-0.5","0","-","-",10719,"L1","0.5",1.71656530963356
"1035","L1 6","gap",3,"0.5","0","-","-",10439,"L1","0.5",1.6214232055646
"1042","L1 6","gap",5,"0.5","0","-","-",4536,"L1","0.5",-0.384376224146259
"1045","L1 6","gap",8,"-0.5","0","-","-",3936,"L1","0.5",-0.588252161436877
"1059","L1 6","gap",11,"0.5","0","-","-",3922,"L1","0.5",-0.593009266640324
"1102","L1 7","gap",5,"-0.5","0","-","-",5705,"L1","0.5",0.0128420603416288
"1108","L1 7","gap",11,"-0.5","0","-","-",6507,"L1","0.5",0.285356229853421
"1125","L1 7","gap",3,"-0.5","0","-","-",8492,"L1","0.5",0.959845789056549
"1140","L1 7","gap",7,"-0.5","0","-","-",5949,"L1","0.5",0.0957516081731467
"1175","L1 7","gap",6,"0.5","0","-","-",4698,"L1","0.5",-0.329329721077792
"1182","L1 7","gap",9,"-0.5","0","-","-",4560,"L1","0.5",-0.376221186654634
"1189","L1 7","gap",10,"0.5","0","-","-",7528,"L1","0.5",0.63228511647629
"1200","L1 7","gap",1,"-0.5","0","-","-",5738,"L1","0.5",0.0240552368926128
"1216","L1 7","gap",8,"0.5","0","-","-",3325,"L1","0.5",-0.795865824244489
"1241","L1 7","gap",4,"0.5","0","-","-",5840,"L1","0.5",0.0587141462320178
"1251","L1 7","gap",12,"0.5","0","-","-",4572,"L1","0.5",-0.372143667908822
"1258","L1 7","gap",2,"0.5","0","-","-",4586,"L1","0.5",-0.367386562705374
"1275","L1 8","gap",5,"0.5","0","-","-",6786,"L1","0.5",0.380158540693559
"1282","L1 8","gap",8,"-0.5","0","-","-",4508,"L1","0.5",-0.393890434553154
"1296","L1 8","gap",9,"0.5","0","-","-",11215,"L1","0.5",1.88510275112714
"1303","L1 8","gap",7,"0.5","0","-","-",4855,"L1","0.5",-0.275982184153413
"1311","L1 8","gap",12,"-0.5","0","-","-",11463,"L1","0.5",1.96937147187393
"1322","L1 8","gap",11,"0.5","0","-","-",7411,"L1","0.5",0.592529308704619
"1335","L1 8","gap",4,"-0.5","0","-","-",8906,"L1","0.5",1.10052018578708
"1345","L1 8","gap",6,"-0.5","0","-","-",4277,"L1","0.5",-0.472382670410042
"1377","L1 8","gap",10,"-0.5","0","-","-",7713,"L1","0.5",0.695146863807564
"1415","L1 8","gap",2,"-0.5","0","-","-",5994,"L1","0.5",0.111042303469943
"1419","L1 8","gap",1,"0.5","0","-","-",10291,"L1","0.5",1.57113380769959
"1430","L1 8","gap",3,"0.5","0","-","-",8329,"L1","0.5",0.904459492759265
"1472","L1 9","gap",4,"0.5","0","-","-",3996,"L1","0.5",-0.567864567707815
"1478","L1 9","gap",3,"-0.5","0","-","-",3095,"L1","0.5",-0.874018266872559
"1491","L1 9","gap",2,"0.5","0","-","-",2688,"L1","0.5",-1.01231411100136
"1505","L1 9","gap",10,"0.5","0","-","-",4793,"L1","0.5",-0.297049364340111
"1522","L1 9","gap",5,"-0.5","0","-","-",2780,"L1","0.5",-0.981053133950134
"1525","L1 9","gap",1,"-0.5","0","-","-",2800,"L1","0.5",-0.97425726937378
"1546","L1 9","gap",8,"0.5","0","-","-",5175,"L1","0.5",-0.16724835093175
"1574","L1 9","gap",11,"-0.5","0","-","-",3556,"L1","0.5",-0.717373588387601
"1577","L1 9","gap",9,"-0.5","0","-","-",2659,"L1","0.5",-1.02216811463708
"1585","L1 9","gap",6,"0.5","0","-","-",2749,"L1","0.5",-0.991586724043483
"1600","L1 9","gap",12,"0.5","0","-","-",2994,"L1","0.5",-0.908337382983147
"1618","L1 9","gap",7,"-0.5","0","-","-",2796,"L1","0.5",-0.975616442289051
"1640","L1 10","gap",12,"-0.5","0","-","-",3146,"L1","0.5",-0.856688812202857
"1651","L1 10","gap",8,"-0.5","0","-","-",4638,"L1","0.5",-0.349717314806854
"1658","L1 10","gap",5,"0.5","0","-","-",4881,"L1","0.5",-0.267147560204153
"1666","L1 10","gap",11,"0.5","0","-","-",2849,"L1","0.5",-0.957607401161713
"1672","L1 10","gap",9,"0.5","0","-","-",4120,"L1","0.5",-0.52573020733442
"1678","L1 10","gap",3,"0.5","0","-","-",3732,"L1","0.5",-0.657569980115687
"1691","L1 10","gap",2,"-0.5","0","-","-",3057,"L1","0.5",-0.886930409567632
"1701","L1 10","gap",6,"-0.5","0","-","-",12475,"L1","0.5",2.31324221943744
"1713","L1 10","gap",4,"-0.5","0","-","-",3521,"L1","0.5",-0.729266351396221
"1721","L1 10","gap",1,"0.5","0","-","-",4081,"L1","0.5",-0.538982143258311
"1737","L1 10","gap",10,"-0.5","0","-","-",4451,"L1","0.5",-0.413258648595763
"1773","L1 10","gap",7,"0.5","0","-","-",2795,"L1","0.5",-0.975956235517868
"1824","L1 11","gap",8,"0.5","0","-","-",3278,"L1","0.5",-0.811836105998921
"1830","L1 11","gap",12,"0.5","0","-","-",4259,"L1","0.5",-0.478498948528761
"1833","L1 11","gap",1,"-0.5","0","-","-",3585,"L1","0.5",-0.707519584751888
"1852","L1 11","gap",3,"-0.5","0","-","-",3997,"L1","0.5",-0.567524774478997
"1888","L1 11","gap",2,"0.5","0","-","-",4325,"L1","0.5",-0.456072595426793
"1907","L1 11","gap",11,"-0.5","0","-","-",3083,"L1","0.5",-0.878095785618372
"1929","L1 11","gap",4,"0.5","0","-","-",3482,"L1","0.5",-0.742518287320111
"1939","L1 11","gap",10,"0.5","0","-","-",3535,"L1","0.5",-0.724509246192773
"1942","L1 11","gap",5,"-0.5","0","-","-",3623,"L1","0.5",-0.694607442056816
"1959","L1 11","gap",7,"-0.5","0","-","-",4996,"L1","0.5",-0.228071338890118
"1963","L1 11","gap",6,"0.5","0","-","-",3126,"L1","0.5",-0.863484676779211
"1973","L1 11","gap",9,"-0.5","0","-","-",2992,"L1","0.5",-0.909016969440782
"2007","L1 12","gap",6,"-0.5","0","-","-",9679,"L1","0.5",1.36318035166316
"2013","L1 12","gap",3,"0.5","0","-","-",2711,"L1","0.5",-1.00449886673856
"2022","L1 12","gap",7,"0.5","0","-","-",4888,"L1","0.5",-0.264769007602429
"2029","L1 12","gap",2,"-0.5","0","-","-",4177,"L1","0.5",-0.506361993291812
"2049","L1 12","gap",12,"-0.5","0","-","-",5432,"L1","0.5",-0.0799214911256024
"2064","L1 12","gap",5,"0.5","0","-","-",7603,"L1","0.5",0.657769608637617
"2083","L1 12","gap",10,"-0.5","0","-","-",3605,"L1","0.5",-0.700723720175534
"2097","L1 12","gap",11,"0.5","0","-","-",5251,"L1","0.5",-0.141424065541606
"2101","L1 12","gap",1,"0.5","0","-","-",3615,"L1","0.5",-0.697325787887357
"2107","L1 12","gap",9,"0.5","0","-","-",1678,"L1","0.5",-1.35550527210724
"2141","L1 12","gap",8,"-0.5","0","-","-",2864,"L1","0.5",-0.952510502729447
"2155","L1 12","gap",4,"-0.5","0","-","-",3194,"L1","0.5",-0.840378737219608
"2201","L1 13","gap",12,"0.5","0","-","-",4401,"L1","0.5",-0.430248310036648
"2208","L1 13","gap",8,"0.5","0","-","-",4560,"L1","0.5",-0.376221186654634
"2215","L1 13","gap",10,"0.5","0","-","-",5890,"L1","0.5",0.0757038076729026
"2222","L1 13","gap",6,"0.5","0","-","-",4084,"L1","0.5",-0.537962763571857
"2226","L1 13","gap",11,"-0.5","0","-","-",4951,"L1","0.5",-0.243362034186915
"2278","L1 13","gap",5,"-0.5","0","-","-",4807,"L1","0.5",-0.292292259136663
"2285","L1 13","gap",1,"-0.5","0","-","-",4425,"L1","0.5",-0.422093272545023
"2316","L1 13","gap",2,"0.5","0","-","-",4426,"L1","0.5",-0.421753479316205
"2323","L1 13","gap",4,"0.5","0","-","-",5577,"L1","0.5",-0.0306514729470364
"2330","L1 13","gap",3,"-0.5","0","-","-",4186,"L1","0.5",-0.503303854232452
"2334","L1 13","gap",9,"-0.5","0","-","-",5761,"L1","0.5",0.0318704811554198
"2338","L1 13","gap",7,"-0.5","0","-","-",4727,"L1","0.5",-0.319475717442079
"2358","L1 14","gap",6,"-0.5","0","-","-",6553,"L1","0.5",0.300986718379036
"2365","L1 14","gap",8,"-0.5","0","-","-",4497,"L1","0.5",-0.397628160070149
"2369","L1 14","gap",9,"0.5","0","-","-",4862,"L1","0.5",-0.27360363155169
"2376","L1 14","gap",7,"0.5","0","-","-",4819,"L1","0.5",-0.28821474039085
"2393","L1 14","gap",1,"0.5","0","-","-",5340,"L1","0.5",-0.111182468176831
"2403","L1 14","gap",11,"0.5","0","-","-",3707,"L1","0.5",-0.666064810836129
"2411","L1 14","gap",2,"-0.5","0","-","-",6832,"L1","0.5",0.395789029219173
"2428","L1 14","gap",5,"0.5","0","-","-",4654,"L1","0.5",-0.34428062314577
"2452","L1 14","gap",12,"-0.5","0","-","-",4551,"L1","0.5",-0.379279325713993
"2466","L1 14","gap",10,"-0.5","0","-","-",5695,"L1","0.5",0.00944412805345179
"2484","L1 14","gap",4,"-0.5","0","-","-",4540,"L1","0.5",-0.383017051230988
"2502","L1 14","gap",3,"0.5","0","-","-",4419,"L1","0.5",-0.424132031917929
"2541","L1 15","gap",11,"-0.5","0","-","-",8817,"L1","0.5",1.0702785884223
"2553","L1 15","gap",6,"0.5","0","-","-",5215,"L1","0.5",-0.153656621779043
"2563","L1 15","gap",3,"-0.5","0","-","-",3942,"L1","0.5",-0.58621340206397
"2590","L1 15","gap",12,"0.5","0","-","-",4986,"L1","0.5",-0.231469271178295
"2631","L1 15","gap",4,"0.5","0","-","-",9233,"L1","0.5",1.21163257161046
"2639","L1 15","gap",10,"0.5","0","-","-",4666,"L1","0.5",-0.340203104399958
"2649","L1 15","gap",5,"-0.5","0","-","-",25898,"L1","0.5",6.87428672985738
"2652","L1 15","gap",2,"0.5","0","-","-",10569,"L1","0.5",1.66559632531091
"2674","L1 15","gap",8,"0.5","0","-","-",3321,"L1","0.5",-0.79722499715976
"2687","L1 15","gap",1,"-0.5","0","-","-",9103,"L1","0.5",1.16745945186416
"2690","L1 15","gap",7,"-0.5","0","-","-",7358,"L1","0.5",0.574520267577281
"2697","L1 15","gap",9,"-0.5","0","-","-",1702,"L1","0.5",-1.34735023461561
"2728","L1 16","gap",5,"0.5","0","-","-",4075,"L1","0.5",-0.541020902631217
"2745","L1 16","gap",12,"-0.5","0","-","-",4341,"L1","0.5",-0.45063590376571
"2771","L1 16","gap",11,"0.5","0","-","-",4031,"L1","0.5",-0.555971804699195
"2774","L1 16","gap",10,"-0.5","0","-","-",4530,"L1","0.5",-0.386414983519165
"2778","L1 16","gap",8,"-0.5","0","-","-",4477,"L1","0.5",-0.404424024646503
"2809","L1 16","gap",1,"0.5","0","-","-",4071,"L1","0.5",-0.542380075546488
"2816","L1 16","gap",6,"-0.5","0","-","-",6617,"L1","0.5",0.322733485023368
"2823","L1 16","gap",7,"0.5","0","-","-",5179,"L1","0.5",-0.16588917801648
"2826","L1 16","gap",2,"-0.5","0","-","-",6063,"L1","0.5",0.134488036258364
"2833","L1 16","gap",3,"0.5","0","-","-",3639,"L1","0.5",-0.689170750395733
"2847","L1 16","gap",9,"0.5","0","-","-",7424,"L1","0.5",0.596946620679249
"2860","L1 16","gap",4,"-0.5","0","-","-",4865,"L1","0.5",-0.272584251865236
"2897","L1 17","gap",7,"-0.5","0","-","-",3906,"L1","0.5",-0.598445958301408
"2918","L1 17","gap",10,"0.5","0","-","-",3058,"L1","0.5",-0.886590616338814
"2937","L1 17","gap",1,"-0.5","0","-","-",4299,"L1","0.5",-0.464907219376053
"2940","L1 17","gap",11,"-0.5","0","-","-",3787,"L1","0.5",-0.638881352530713
"2943","L1 17","gap",4,"0.5","0","-","-",2718,"L1","0.5",-1.00212031413683
"2950","L1 17","gap",8,"0.5","0","-","-",2770,"L1","0.5",-0.984451066238311
"2965","L1 17","gap",12,"0.5","0","-","-",5561,"L1","0.5",-0.0360881646081196
"2973","L1 17","gap",3,"-0.5","0","-","-",2876,"L1","0.5",-0.948432983983635
"2977","L1 17","gap",5,"-0.5","0","-","-",4317,"L1","0.5",-0.458790941257334
"2984","L1 17","gap",2,"0.5","0","-","-",2675,"L1","0.5",-1.01673142297599
"3008","L1 17","gap",6,"0.5","0","-","-",2596,"L1","0.5",-1.04357508805259
"3025","L1 17","gap",9,"-0.5","0","-","-",4026,"L1","0.5",-0.557670770843284
"3078","L1 18","gap",6,"-0.5","0","-","-",3134,"L1","0.5",-0.860766330948669
"3125","L1 18","gap",5,"0.5","0","-","-",3832,"L1","0.5",-0.623590657233917
"3139","L1 18","gap",3,"0.5","0","-","-",4149,"L1","0.5",-0.515876203698707
"3149","L1 18","gap",11,"0.5","0","-","-",2998,"L1","0.5",-0.906978210067876
"3153","L1 18","gap",10,"-0.5","0","-","-",4200,"L1","0.5",-0.498546749029005
"3164","L1 18","gap",2,"-0.5","0","-","-",3060,"L1","0.5",-0.885911029881179
"3178","L1 18","gap",12,"-0.5","0","-","-",3700,"L1","0.5",-0.668443363437853
"3184","L1 18","gap",9,"0.5","0","-","-",7982,"L1","0.5",0.786551242359524
"3197","L1 18","gap",8,"-0.5","0","-","-",3291,"L1","0.5",-0.807418794024291
"3200","L1 18","gap",1,"0.5","0","-","-",4869,"L1","0.5",-0.271225078949966
"3234","L1 18","gap",4,"-0.5","0","-","-",4876,"L1","0.5",-0.268846526348242
"3238","L1 18","gap",7,"0.5","0","-","-",4926,"L1","0.5",-0.251856864907357
"3259","L1 19","gap",7,"-0.5","0","-","-",7359,"L1","0.5",0.574860060806099
"3270","L1 19","gap",8,"0.5","0","-","-",4511,"L1","0.5",-0.392871054866701
"3280","L1 19","gap",9,"-0.5","0","-","-",5641,"L1","0.5",-0.00890470630270382
"3308","L1 19","gap",3,"-0.5","0","-","-",5607,"L1","0.5",-0.0204576760825055
"3326","L1 19","gap",1,"-0.5","0","-","-",4694,"L1","0.5",-0.330688893993063
"3346","L1 19","gap",6,"0.5","0","-","-",8642,"L1","0.5",1.0108147733792
"3368","L1 19","gap",4,"0.5","0","-","-",5582,"L1","0.5",-0.0289525068029479
"3371","L1 19","gap",10,"0.5","0","-","-",5559,"L1","0.5",-0.036767751065755
"3384","L1 19","gap",5,"-0.5","0","-","-",4697,"L1","0.5",-0.329669514306609
"3388","L1 19","gap",12,"0.5","0","-","-",5019,"L1","0.5",-0.220256094627311
"3408","L1 19","gap",2,"0.5","0","-","-",4300,"L1","0.5",-0.464567426147235
"3411","L1 19","gap",11,"-0.5","0","-","-",4304,"L1","0.5",-0.463208253231964
"3437","L1 20","gap",2,"-0.5","0","-","-",5158,"L1","0.5",-0.173024835821651
"3444","L1 20","gap",9,"0.5","0","-","-",5903,"L1","0.5",0.0801211196475327
"3448","L1 20","gap",1,"0.5","0","-","-",8232,"L1","0.5",0.871499549563948
"3458","L1 20","gap",12,"-0.5","0","-","-",8713,"L1","0.5",1.03494009262526
"3470","L1 20","gap",3,"0.5","0","-","-",3802,"L1","0.5",-0.633784454098448
"3481","L1 20","gap",8,"-0.5","0","-","-",8242,"L1","0.5",0.874897481852125
"3488","L1 20","gap",5,"0.5","0","-","-",5580,"L1","0.5",-0.0296320932605833
"3509","L1 20","gap",11,"0.5","0","-","-",2708,"L1","0.5",-1.00551824642501
"3512","L1 20","gap",4,"-0.5","0","-","-",5643,"L1","0.5",-0.00822511984506843
"3549","L1 20","gap",10,"-0.5","0","-","-",4157,"L1","0.5",-0.513157857868166
"3556","L1 20","gap",7,"0.5","0","-","-",4294,"L1","0.5",-0.466606185520141
"3584","L1 20","gap",6,"-0.5","0","-","-",3227,"L1","0.5",-0.829165560668624
"3615","L1 21","gap",5,"-0.5","0","-","-",6155,"L1","0.5",0.165749013309592
"3627","L1 21","gap",3,"-0.5","0","-","-",5482,"L1","0.5",-0.0629318296847176
"3673","L1 21","gap",10,"0.5","0","-","-",2085,"L1","0.5",-1.21720942797843
"3676","L1 21","gap",8,"0.5","0","-","-",6368,"L1","0.5",0.238124971047762
"3679","L1 21","gap",7,"-0.5","0","-","-",7748,"L1","0.5",0.707039626816183
"3683","L1 21","gap",1,"-0.5","0","-","-",5717,"L1","0.5",0.0169195790874411
"3693","L1 21","gap",12,"0.5","0","-","-",6559,"L1","0.5",0.303025477751942
"3706","L1 21","gap",11,"-0.5","0","-","-",3803,"L1","0.5",-0.63344466086963
