"","subject","type","item","condition","question","correct_answer","response","rt","group","disamb_type","z_scored_rt"
"25","L1 1","gap",22,"0.5","0","-","-",4214,"L1","-0.5",-0.431636451095032
"42","L1 1","gap",16,"0.5","0","-","-",6048,"L1","-0.5",0.229907368474171
"46","L1 1","gap",21,"-0.5","0","-","-",5540,"L1","-0.5",0.0466662232499862
"50","L1 1","gap",19,"-0.5","0","-","-",6460,"L1","-0.5",0.378520265781975
"70","L1 1","gap",13,"-0.5","0","-","-",3508,"L1","-0.5",-0.686298357646754
"81","L1 1","gap",14,"0.5","0","-","-",6009,"L1","-0.5",0.215839642758141
"95","L1 1","gap",20,"0.5","0","-","-",3477,"L1","-0.5",-0.697480396036419
"118","L1 1","gap",24,"0.5","0","-","-",6898,"L1","-0.5",0.536511646900465
"122","L1 1","gap",23,"-0.5","0","-","-",5104,"L1","-0.5",-0.110603736036913
"161","L1 1","gap",18,"0.5","0","-","-",3523,"L1","-0.5",-0.680887693909819
"164","L1 1","gap",17,"-0.5","0","-","-",3781,"L1","-0.5",-0.587824277634544
"178","L1 1","gap",15,"-0.5","0","-","-",8324,"L1","-0.5",1.05088541282505
"204","L1 2","gap",14,"-0.5","0","-","-",6067,"L1","-0.5",0.236760875874288
"212","L1 2","gap",20,"-0.5","0","-","-",5290,"L1","-0.5",-0.0435115056989238
"236","L1 2","gap",23,"0.5","0","-","-",5479,"L1","-0.5",0.0246628573864521
"278","L1 2","gap",18,"-0.5","0","-","-",8060,"L1","-0.5",0.955657731054998
"282","L1 2","gap",17,"0.5","0","-","-",5185,"L1","-0.5",-0.0813861518574659
"299","L1 2","gap",21,"0.5","0","-","-",6021,"L1","-0.5",0.220168173747689
"303","L1 2","gap",15,"0.5","0","-","-",7937,"L1","-0.5",0.911290288412135
"309","L1 2","gap",19,"0.5","0","-","-",7550,"L1","-0.5",0.771695163999222
"317","L1 2","gap",13,"0.5","0","-","-",6376,"L1","-0.5",0.348220548855141
"326","L1 2","gap",24,"-0.5","0","-","-",7317,"L1","-0.5",0.687649520618838
"333","L1 2","gap",22,"-0.5","0","-","-",3981,"L1","-0.5",-0.515682094475416
"337","L1 2","gap",16,"-0.5","0","-","-",9422,"L1","-0.5",1.44694599836866
"384","L1 3","gap",13,"-0.5","0","-","-",9013,"L1","-0.5",1.29941523380824
"390","L1 3","gap",14,"0.5","0","-","-",15867,"L1","-0.5",3.77172785067156
"415","L1 3","gap",23,"-0.5","0","-","-",10369,"L1","-0.5",1.78853923562713
"422","L1 3","gap",24,"0.5","0","-","-",15573,"L1","-0.5",3.66567884142764
"443","L1 3","gap",16,"0.5","0","-","-",16467,"L1","-0.5",3.98815440014894
"458","L1 3","gap",20,"0.5","0","-","-",23373,"L1","-0.5",6.47922398463363
"466","L1 3","gap",15,"-0.5","0","-","-",10180,"L1","-0.5",1.72036487254175
"484","L1 3","gap",19,"-0.5","0","-","-",14636,"L1","-0.5",3.32769271332713
"492","L1 3","gap",22,"0.5","0","-","-",5813,"L1","-0.5",0.145140303262196
"495","L1 3","gap",17,"-0.5","0","-","-",11303,"L1","-0.5",2.12544323098026
"511","L1 3","gap",21,"-0.5","0","-","-",15722,"L1","-0.5",3.71942476788119
"521","L1 3","gap",18,"0.5","0","-","-",16228,"L1","-0.5",3.90194449127378
"554","L1 4","gap",17,"0.5","0","-","-",4223,"L1","-0.5",-0.428390052852871
"565","L1 4","gap",20,"-0.5","0","-","-",3551,"L1","-0.5",-0.670787788267541
"568","L1 4","gap",24,"-0.5","0","-","-",3076,"L1","-0.5",-0.84212547327047
"581","L1 4","gap",19,"0.5","0","-","-",5568,"L1","-0.5",0.0567661288922641
"609","L1 4","gap",13,"0.5","0","-","-",6049,"L1","-0.5",0.230268079389967
"647","L1 4","gap",22,"-0.5","0","-","-",3622,"L1","-0.5",-0.645177313246051
"658","L1 4","gap",14,"-0.5","0","-","-",4210,"L1","-0.5",-0.433079294758215
"665","L1 4","gap",15,"0.5","0","-","-",3251,"L1","-0.5",-0.779001063006233
"676","L1 4","gap",18,"-0.5","0","-","-",3267,"L1","-0.5",-0.773229688353503
"680","L1 4","gap",16,"-0.5","0","-","-",3481,"L1","-0.5",-0.696037552373236
"703","L1 4","gap",23,"0.5","0","-","-",4744,"L1","-0.5",-0.240459665723343
"717","L1 4","gap",21,"0.5","0","-","-",2681,"L1","-0.5",-0.984606285009748
"739","L1 5","gap",24,"0.5","0","-","-",3401,"L1","-0.5",-0.724894425636887
"742","L1 5","gap",15,"-0.5","0","-","-",5517,"L1","-0.5",0.0383698721866864
"752","L1 5","gap",17,"-0.5","0","-","-",4206,"L1","-0.5",-0.434522138421397
"803","L1 5","gap",23,"-0.5","0","-","-",2629,"L1","-0.5",-1.00336325263112
"811","L1 5","gap",22,"0.5","0","-","-",2897,"L1","-0.5",-0.90669272719789
"830","L1 5","gap",21,"-0.5","0","-","-",5716,"L1","-0.5",0.110151344430019
"838","L1 5","gap",14,"0.5","0","-","-",2701,"L1","-0.5",-0.977392066693835
"848","L1 5","gap",16,"0.5","0","-","-",4374,"L1","-0.5",-0.37392270456773
"859","L1 5","gap",18,"0.5","0","-","-",3941,"L1","-0.5",-0.530110531107242
"866","L1 5","gap",20,"0.5","0","-","-",3906,"L1","-0.5",-0.542735413160089
"869","L1 5","gap",19,"-0.5","0","-","-",4102,"L1","-0.5",-0.472036073664144
"880","L1 5","gap",13,"-0.5","0","-","-",3838,"L1","-0.5",-0.567263755434193
"922","L1 6","gap",24,"-0.5","0","-","-",5255,"L1","-0.5",-0.0561363877517712
"928","L1 6","gap",15,"0.5","0","-","-",9351,"L1","-0.5",1.42133552334717
"937","L1 6","gap",13,"0.5","0","-","-",3451,"L1","-0.5",-0.706858879847105
"965","L1 6","gap",14,"-0.5","0","-","-",3221,"L1","-0.5",-0.789822390480102
"980","L1 6","gap",18,"-0.5","0","-","-",3772,"L1","-0.5",-0.591070675876705
"987","L1 6","gap",17,"0.5","0","-","-",7046,"L1","-0.5",0.58989686243822
"994","L1 6","gap",19,"0.5","0","-","-",3404,"L1","-0.5",-0.7238122928895
"1012","L1 6","gap",21,"0.5","0","-","-",2885,"L1","-0.5",-0.911021258187437
"1038","L1 6","gap",16,"-0.5","0","-","-",3818,"L1","-0.5",-0.574477973750105
"1056","L1 6","gap",22,"-0.5","0","-","-",4795,"L1","-0.5",-0.222063409017765
"1063","L1 6","gap",20,"-0.5","0","-","-",3597,"L1","-0.5",-0.654195086140942
"1071","L1 6","gap",23,"0.5","0","-","-",5030,"L1","-0.5",-0.13729634380579
"1121","L1 7","gap",21,"-0.5","0","-","-",5292,"L1","-0.5",-0.0427900838673325
"1128","L1 7","gap",16,"0.5","0","-","-",6938,"L1","-0.5",0.550940083532291
"1134","L1 7","gap",17,"-0.5","0","-","-",6044,"L1","-0.5",0.228464524810989
"1152","L1 7","gap",13,"-0.5","0","-","-",6189,"L1","-0.5",0.280767607601356
"1160","L1 7","gap",20,"0.5","0","-","-",3903,"L1","-0.5",-0.543817545907476
"1167","L1 7","gap",14,"0.5","0","-","-",8681,"L1","-0.5",1.17965920976409
"1193","L1 7","gap",22,"0.5","0","-","-",4297,"L1","-0.5",-0.401697445083994
"1197","L1 7","gap",24,"0.5","0","-","-",8082,"L1","-0.5",0.963593371202502
"1209","L1 7","gap",23,"-0.5","0","-","-",3809,"L1","-0.5",-0.577724371992266
"1226","L1 7","gap",15,"-0.5","0","-","-",4843,"L1","-0.5",-0.204749285059575
"1234","L1 7","gap",18,"0.5","0","-","-",6428,"L1","-0.5",0.366977516476514
"1255","L1 7","gap",19,"-0.5","0","-","-",3998,"L1","-0.5",-0.50955000890689
"1287","L1 8","gap",22,"-0.5","0","-","-",5343,"L1","-0.5",-0.0243938271617549
"1325","L1 8","gap",14,"-0.5","0","-","-",7300,"L1","-0.5",0.681517435050312
"1329","L1 8","gap",13,"0.5","0","-","-",11160,"L1","-0.5",2.07386157002148
"1338","L1 8","gap",15,"0.5","0","-","-",7854,"L1","-0.5",0.881351282401096
"1359","L1 8","gap",17,"0.5","0","-","-",7591,"L1","-0.5",0.786484311546843
"1366","L1 8","gap",19,"0.5","0","-","-",7387,"L1","-0.5",0.712899284724533
"1373","L1 8","gap",21,"0.5","0","-","-",8691,"L1","-0.5",1.18326631892205
"1385","L1 8","gap",23,"0.5","0","-","-",7157,"L1","-0.5",0.629935774091536
"1394","L1 8","gap",20,"-0.5","0","-","-",3896,"L1","-0.5",-0.546342522318045
"1398","L1 8","gap",16,"-0.5","0","-","-",10186,"L1","-0.5",1.72252913803653
"1405","L1 8","gap",24,"-0.5","0","-","-",8370,"L1","-0.5",1.06747811495165
"1426","L1 8","gap",18,"-0.5","0","-","-",6585,"L1","-0.5",0.42360913025643
"1463","L1 9","gap",20,"0.5","0","-","-",2400,"L1","-0.5",-1.08596605234832
"1485","L1 9","gap",16,"0.5","0","-","-",3387,"L1","-0.5",-0.729944378458026
"1494","L1 9","gap",15,"-0.5","0","-","-",2959,"L1","-0.5",-0.88432865041856
"1502","L1 9","gap",19,"-0.5","0","-","-",2295,"L1","-0.5",-1.12384069850686
"1512","L1 9","gap",13,"-0.5","0","-","-",3114,"L1","-0.5",-0.828418458470236
"1535","L1 9","gap",14,"0.5","0","-","-",2579,"L1","-0.5",-1.0213987984209
"1543","L1 9","gap",17,"-0.5","0","-","-",2133,"L1","-0.5",-1.18227586686576
"1554","L1 9","gap",22,"0.5","0","-","-",3249,"L1","-0.5",-0.779722484837824
"1557","L1 9","gap",24,"0.5","0","-","-",3407,"L1","-0.5",-0.722730160142113
"1564","L1 9","gap",23,"-0.5","0","-","-",2186,"L1","-0.5",-1.16315818832859
"1581","L1 9","gap",21,"-0.5","0","-","-",2293,"L1","-0.5",-1.12456212033846
"1593","L1 9","gap",18,"0.5","0","-","-",2647,"L1","-0.5",-0.996870456146799
"1675","L1 10","gap",18,"-0.5","0","-","-",7887,"L1","-0.5",0.893254742622353
"1685","L1 10","gap",13,"0.5","0","-","-",2856,"L1","-0.5",-0.921481874745511
"1688","L1 10","gap",21,"0.5","0","-","-",2744,"L1","-0.5",-0.961881497314622
"1743","L1 10","gap",15,"0.5","0","-","-",2397,"L1","-0.5",-1.08704818509571
"1751","L1 10","gap",20,"-0.5","0","-","-",2785,"L1","-0.5",-0.947092349767001
"1755","L1 10","gap",17,"0.5","0","-","-",3830,"L1","-0.5",-0.570149442760558
"1758","L1 10","gap",24,"-0.5","0","-","-",2786,"L1","-0.5",-0.946731638851206
"1766","L1 10","gap",22,"-0.5","0","-","-",2757,"L1","-0.5",-0.957192255409279
"1776","L1 10","gap",19,"0.5","0","-","-",5114,"L1","-0.5",-0.106996626878956
"1784","L1 10","gap",23,"0.5","0","-","-",2830,"L1","-0.5",-0.930860358556197
"1788","L1 10","gap",14,"-0.5","0","-","-",2509,"L1","-0.5",-1.0466485625266
"1791","L1 10","gap",16,"-0.5","0","-","-",2615,"L1","-0.5",-1.00841320545226
"1818","L1 11","gap",19,"-0.5","0","-","-",3236,"L1","-0.5",-0.784411726743168
"1841","L1 11","gap",18,"0.5","0","-","-",4214,"L1","-0.5",-0.431636451095032
"1844","L1 11","gap",24,"0.5","0","-","-",3618,"L1","-0.5",-0.646620156909233
"1863","L1 11","gap",22,"0.5","0","-","-",4285,"L1","-0.5",-0.406025976073542
"1870","L1 11","gap",23,"-0.5","0","-","-",2353,"L1","-0.5",-1.10291946539072
"1895","L1 11","gap",16,"0.5","0","-","-",4999,"L1","-0.5",-0.148478382195455
"1910","L1 11","gap",20,"0.5","0","-","-",2940,"L1","-0.5",-0.891182157818677
"1918","L1 11","gap",21,"-0.5","0","-","-",3286,"L1","-0.5",-0.766376180953386
"1921","L1 11","gap",15,"-0.5","0","-","-",4069,"L1","-0.5",-0.4839395338854
"1933","L1 11","gap",13,"-0.5","0","-","-",3399,"L1","-0.5",-0.725615847468478
"1952","L1 11","gap",17,"-0.5","0","-","-",4484,"L1","-0.5",-0.334244503830209
"1969","L1 11","gap",14,"0.5","0","-","-",3765,"L1","-0.5",-0.593595652287274
"2000","L1 12","gap",17,"0.5","0","-","-",3276,"L1","-0.5",-0.769983290111342
"2019","L1 12","gap",15,"0.5","0","-","-",5506,"L1","-0.5",0.0344020521129344
"2041","L1 12","gap",23,"0.5","0","-","-",4144,"L1","-0.5",-0.456886215200727
"2045","L1 12","gap",20,"-0.5","0","-","-",4321,"L1","-0.5",-0.393040383104899
"2052","L1 12","gap",13,"0.5","0","-","-",6288,"L1","-0.5",0.316477988265125
"2056","L1 12","gap",24,"-0.5","0","-","-",5267,"L1","-0.5",-0.0518078567622235
"2075","L1 12","gap",14,"-0.5","0","-","-",2582,"L1","-0.5",-1.02031666567352
"2090","L1 12","gap",21,"0.5","0","-","-",6499,"L1","-0.5",0.392587991498005
