"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"9602","L1","L1 1",24,"disamb","rp","disamb rp",4,0,552,552,"Unambiguous","Mismatch",552
"9604","L1","L1 1",12,"disamb","rp","disamb rp",4,0,4693,4693,"Unambiguous","Mismatch",4693
"9606","L1","L1 1",6,"disamb","rp","disamb rp",2,0,2847,2847,"Ambiguous","Mismatch",2847
"9608","L1","L1 1",7,"disamb","rp","disamb rp",3,0,186,186,"Unambiguous","Match",186
"9610","L1","L1 1",14,"disamb","rp","disamb rp",2,0,1960,1960,"Ambiguous","Mismatch",1960
"9612","L1","L1 1",21,"disamb","rp","disamb rp",1,0,1470,1470,"Ambiguous","Match",1470
"9614","L1","L1 1",19,"disamb","rp","disamb rp",3,0,206,206,"Unambiguous","Match",206
"9616","L1","L1 1",17,"disamb","rp","disamb rp",1,0,938,938,"Ambiguous","Match",938
"9618","L1","L1 1",10,"disamb","rp","disamb rp",2,0,1658,1658,"Ambiguous","Mismatch",1658
"9620","L1","L1 1",23,"disamb","rp","disamb rp",3,0,739,739,"Unambiguous","Match",739
"9622","L1","L1 1",15,"disamb","rp","disamb rp",3,0,543,543,"Unambiguous","Match",543
"9624","L1","L1 1",1,"disamb","rp","disamb rp",1,0,380,380,"Ambiguous","Match",380
"9626","L1","L1 1",2,"disamb","rp","disamb rp",2,0,485,485,"Ambiguous","Mismatch",485
"9628","L1","L1 1",5,"disamb","rp","disamb rp",1,0,755,755,"Ambiguous","Match",755
"9630","L1","L1 1",16,"disamb","rp","disamb rp",4,0,497,497,"Unambiguous","Mismatch",497
"9632","L1","L1 1",3,"disamb","rp","disamb rp",3,0,2426,2426,"Unambiguous","Match",2426
"9634","L1","L1 1",13,"disamb","rp","disamb rp",1,0,945,945,"Ambiguous","Match",945
"9636","L1","L1 1",11,"disamb","rp","disamb rp",3,0,671,671,"Unambiguous","Match",671
"9638","L1","L1 1",9,"disamb","rp","disamb rp",1,0,513,513,"Ambiguous","Match",513
"9640","L1","L1 1",8,"disamb","rp","disamb rp",4,0,731,731,"Unambiguous","Mismatch",731
"9642","L1","L1 1",4,"disamb","rp","disamb rp",4,0,477,477,"Unambiguous","Mismatch",477
"9644","L1","L1 1",20,"disamb","rp","disamb rp",4,0,722,722,"Unambiguous","Mismatch",722
"9646","L1","L1 1",18,"disamb","rp","disamb rp",2,0,500,500,"Ambiguous","Mismatch",500
"9648","L1","L1 1",22,"disamb","rp","disamb rp",2,0,1774,1774,"Ambiguous","Mismatch",1774
"9650","L1","L1 2",14,"disamb","rp","disamb rp",3,0,884,884,"Unambiguous","Match",884
"9652","L1","L1 2",4,"disamb","rp","disamb rp",1,0,2387,2387,"Ambiguous","Match",2387
"9654","L1","L1 2",19,"disamb","rp","disamb rp",4,0,445,445,"Unambiguous","Mismatch",445
"9656","L1","L1 2",1,"disamb","rp","disamb rp",2,0,399,399,"Ambiguous","Mismatch",399
"9658","L1","L1 2",5,"disamb","rp","disamb rp",2,0,683,683,"Ambiguous","Mismatch",683
"9660","L1","L1 2",15,"disamb","rp","disamb rp",4,0,736,736,"Unambiguous","Mismatch",736
"9662","L1","L1 2",7,"disamb","rp","disamb rp",4,0,177,177,"Unambiguous","Mismatch",177
"9664","L1","L1 2",18,"disamb","rp","disamb rp",3,0,498,498,"Unambiguous","Match",498
"9666","L1","L1 2",6,"disamb","rp","disamb rp",3,0,553,553,"Unambiguous","Match",553
"9668","L1","L1 2",22,"disamb","rp","disamb rp",3,0,1704,1704,"Unambiguous","Match",1704
"9670","L1","L1 2",10,"disamb","rp","disamb rp",3,0,552,552,"Unambiguous","Match",552
"9672","L1","L1 2",8,"disamb","rp","disamb rp",1,0,1016,1016,"Ambiguous","Match",1016
"9674","L1","L1 2",24,"disamb","rp","disamb rp",1,0,1932,1932,"Ambiguous","Match",1932
"9676","L1","L1 2",17,"disamb","rp","disamb rp",2,0,192,192,"Ambiguous","Mismatch",192
"9678","L1","L1 2",2,"disamb","rp","disamb rp",3,0,392,392,"Unambiguous","Match",392
"9680","L1","L1 2",11,"disamb","rp","disamb rp",4,0,661,661,"Unambiguous","Mismatch",661
"9682","L1","L1 2",3,"disamb","rp","disamb rp",4,0,371,371,"Unambiguous","Mismatch",371
"9684","L1","L1 2",21,"disamb","rp","disamb rp",2,0,183,183,"Ambiguous","Mismatch",183
"9686","L1","L1 2",20,"disamb","rp","disamb rp",1,0,438,438,"Ambiguous","Match",438
"9688","L1","L1 2",16,"disamb","rp","disamb rp",1,0,142,142,"Ambiguous","Match",142
"9690","L1","L1 2",13,"disamb","rp","disamb rp",2,0,519,519,"Ambiguous","Mismatch",519
"9692","L1","L1 2",9,"disamb","rp","disamb rp",2,0,414,414,"Ambiguous","Mismatch",414
"9694","L1","L1 2",12,"disamb","rp","disamb rp",1,0,726,726,"Ambiguous","Match",726
"9696","L1","L1 2",23,"disamb","rp","disamb rp",4,0,757,757,"Unambiguous","Mismatch",757
"9697","L1","L1 3",11,"disamb","rp","disamb rp",1,0,1004,1004,"Ambiguous","Match",1004
"9699","L1","L1 3",21,"disamb","rp","disamb rp",3,0,488,488,"Unambiguous","Match",488
"9701","L1","L1 3",2,"disamb","rp","disamb rp",4,0,988,988,"Unambiguous","Mismatch",988
"9703","L1","L1 3",20,"disamb","rp","disamb rp",2,0,3711,3711,"Ambiguous","Mismatch",3711
"9705","L1","L1 3",9,"disamb","rp","disamb rp",3,0,621,621,"Unambiguous","Match",621
"9707","L1","L1 3",4,"disamb","rp","disamb rp",2,0,4375,4375,"Ambiguous","Mismatch",4375
"9709","L1","L1 3",3,"disamb","rp","disamb rp",1,0,1601,1601,"Ambiguous","Match",1601
"9711","L1","L1 3",1,"disamb","rp","disamb rp",3,0,804,804,"Unambiguous","Match",804
"9713","L1","L1 3",13,"disamb","rp","disamb rp",3,0,3655,3655,"Unambiguous","Match",3655
"9715","L1","L1 3",18,"disamb","rp","disamb rp",4,0,689,689,"Unambiguous","Mismatch",689
"9717","L1","L1 3",7,"disamb","rp","disamb rp",1,0,1225,1225,"Ambiguous","Match",1225
"9719","L1","L1 3",5,"disamb","rp","disamb rp",3,0,718,718,"Unambiguous","Match",718
"9721","L1","L1 3",15,"disamb","rp","disamb rp",1,0,864,864,"Ambiguous","Match",864
"9723","L1","L1 3",16,"disamb","rp","disamb rp",2,0,847,847,"Ambiguous","Mismatch",847
"9725","L1","L1 3",8,"disamb","rp","disamb rp",2,0,5480,5480,"Ambiguous","Mismatch",5480
"9727","L1","L1 3",22,"disamb","rp","disamb rp",4,0,1199,1199,"Unambiguous","Mismatch",1199
"9729","L1","L1 3",17,"disamb","rp","disamb rp",3,0,828,828,"Unambiguous","Match",828
"9731","L1","L1 3",19,"disamb","rp","disamb rp",1,0,6430,6430,"Ambiguous","Match",6430
"9733","L1","L1 3",23,"disamb","rp","disamb rp",1,0,1460,1460,"Ambiguous","Match",1460
"9735","L1","L1 3",14,"disamb","rp","disamb rp",4,0,839,839,"Unambiguous","Mismatch",839
"9737","L1","L1 3",24,"disamb","rp","disamb rp",2,0,598,598,"Ambiguous","Mismatch",598
"9739","L1","L1 3",10,"disamb","rp","disamb rp",4,0,1056,1056,"Unambiguous","Mismatch",1056
"9741","L1","L1 3",12,"disamb","rp","disamb rp",2,0,838,838,"Ambiguous","Mismatch",838
"9743","L1","L1 3",6,"disamb","rp","disamb rp",4,0,1700,1700,"Unambiguous","Mismatch",1700
"9745","L1","L1 4",21,"disamb","rp","disamb rp",4,0,619,619,"Unambiguous","Mismatch",619
"9747","L1","L1 4",14,"disamb","rp","disamb rp",1,0,578,578,"Ambiguous","Match",578
"9749","L1","L1 4",22,"disamb","rp","disamb rp",1,0,548,548,"Ambiguous","Match",548
"9751","L1","L1 4",11,"disamb","rp","disamb rp",2,0,394,394,"Ambiguous","Mismatch",394
"9753","L1","L1 4",15,"disamb","rp","disamb rp",2,0,651,651,"Ambiguous","Mismatch",651
"9755","L1","L1 4",23,"disamb","rp","disamb rp",2,0,440,440,"Ambiguous","Mismatch",440
"9757","L1","L1 4",18,"disamb","rp","disamb rp",1,0,511,511,"Ambiguous","Match",511
"9759","L1","L1 4",6,"disamb","rp","disamb rp",1,0,414,414,"Ambiguous","Match",414
"9761","L1","L1 4",10,"disamb","rp","disamb rp",1,0,310,310,"Ambiguous","Match",310
"9763","L1","L1 4",12,"disamb","rp","disamb rp",3,0,495,495,"Unambiguous","Match",495
"9765","L1","L1 4",19,"disamb","rp","disamb rp",2,0,554,554,"Ambiguous","Mismatch",554
"9767","L1","L1 4",1,"disamb","rp","disamb rp",4,0,313,313,"Unambiguous","Mismatch",313
"9769","L1","L1 4",20,"disamb","rp","disamb rp",3,0,488,488,"Unambiguous","Match",488
"9771","L1","L1 4",16,"disamb","rp","disamb rp",3,0,1478,1478,"Unambiguous","Match",1478
"9773","L1","L1 4",2,"disamb","rp","disamb rp",1,0,506,506,"Ambiguous","Match",506
"9775","L1","L1 4",5,"disamb","rp","disamb rp",4,0,322,322,"Unambiguous","Mismatch",322
"9777","L1","L1 4",17,"disamb","rp","disamb rp",4,0,1038,1038,"Unambiguous","Mismatch",1038
