"","subject","type","item","condition","question","correct_answer","response","rt","group"
"44","L1 1","filler",19,"-","0","-","-",5229,"L1"
"45","L1 1","filler",19,"-","!","{No}","1",2039,"L1"
"46","L1 1","gap",21,"a","0","-","-",5540,"L1"
"47","L1 1","gap",21,"a","!","{Yes}","0",1914,"L1"
"48","L1 1","filler",20,"-","0","-","-",4245,"L1"
"49","L1 1","filler",20,"-","!","{Two_days}","1",1872,"L1"
"50","L1 1","gap",19,"a","0","-","-",6460,"L1"
"51","L1 1","gap",19,"a","!","{Yes}","0",2490,"L1"
"52","L1 1","filler",35,"-","0","-","-",2814,"L1"
"53","L1 1","filler",35,"-","!","{The_spaghetti}","1",1879,"L1"
"54","L1 1","gap",11,"a","0","-","-",6100,"L1"
"55","L1 1","gap",11,"a","!","{The_table}","1",1797,"L1"
"56","L1 1","filler",5,"-","0","-","-",3407,"L1"
"57","L1 1","gap",12,"b","0","-","-",5111,"L1"
"58","L1 1","gap",12,"b","!","{The_bread}","1",1744,"L1"
"59","L1 1","filler",29,"-","0","-","-",3321,"L1"
"60","L1 1","filler",29,"-","!","{Yes}","1",1552,"L1"
"61","L1 1","gp",9,"a","0","-","-",5412,"L1"
"62","L1 1","gp",9,"a","!","{The_pianist_calmed_himself_down}","1",3042,"L1"
"63","L1 1","filler",45,"-","0","-","-",5678,"L1"
"64","L1 1","gap",6,"b","0","-","-",4747,"L1"
"65","L1 1","gap",6,"b","!","{The_race}","1",2085,"L1"
"66","L1 1","filler",3,"-","0","-","-",9870,"L1"
"67","L1 1","gp",6,"b","0","-","-",3704,"L1"
"68","L1 1","gp",6,"b","!","{The_two_kids_fought_each_other}","1",3319,"L1"
"69","L1 1","filler",21,"-","0","-","-",4107,"L1"
"70","L1 1","gap",13,"a","0","-","-",3508,"L1"
"71","L1 1","gap",13,"a","!","{Yes}","0",2284,"L1"
"72","L1 1","filler",1,"-","0","-","-",4610,"L1"
"73","L1 1","filler",1,"-","!","{Yes}","1",1735,"L1"
"74","L1 1","gp",5,"a","0","-","-",6646,"L1"
"75","L1 1","gp",5,"a","!","{The_father_washed_the_boy}","0",2108,"L1"
"76","L1 1","filler",6,"-","0","-","-",3865,"L1"
"77","L1 1","gap",2,"b","0","-","-",5688,"L1"
"78","L1 1","gap",2,"b","!","{The_truck}","1",1632,"L1"
"79","L1 1","filler",33,"-","0","-","-",5047,"L1"
"80","L1 1","filler",33,"-","!","{The_elephant}","1",2680,"L1"
"81","L1 1","gap",14,"b","0","-","-",6009,"L1"
"82","L1 1","gap",14,"b","!","{Yes}","0",1526,"L1"
"83","L1 1","filler",36,"-","0","-","-",4348,"L1"
"84","L1 1","gap",8,"b","0","-","-",4072,"L1"
"85","L1 1","gap",8,"b","!","{The_church}","1",3415,"L1"
"86","L1 1","filler",34,"-","0","-","-",3821,"L1"
"87","L1 1","filler",34,"-","!","{The_lake}","1",2367,"L1"
"88","L1 1","gp",20,"d","0","-","-",6440,"L1"
"89","L1 1","gp",20,"d","!","{The_man}","1",1897,"L1"
"90","L1 1","filler",16,"-","0","-","-",4286,"L1"
"91","L1 1","gp",19,"c","0","-","-",3546,"L1"
"92","L1 1","gp",19,"c","!","{The_basketball_player}","1",2853,"L1"
"93","L1 1","filler",32,"-","0","-","-",6487,"L1"
"94","L1 1","filler",32,"-","!","{Edward}","1",2687,"L1"
"95","L1 1","gap",20,"b","0","-","-",3477,"L1"
"96","L1 1","gap",20,"b","!","{No}","1",1910,"L1"
"97","L1 1","filler",22,"-","0","-","-",8376,"L1"
"98","L1 1","filler",22,"-","!","{Yes}","1",2340,"L1"
"99","L1 1","gp",17,"a","0","-","-",4075,"L1"
"100","L1 1","gp",17,"a","!","{The_two_men_fought_each_other}","1",3400,"L1"
"101","L1 1","filler",40,"-","0","-","-",6984,"L1"
"102","L1 1","gap",10,"b","0","-","-",6782,"L1"
"103","L1 1","gap",10,"b","!","{The_car}","1",2519,"L1"
"104","L1 1","filler",15,"-","0","-","-",4959,"L1"
"105","L1 1","gp",2,"b","0","-","-",3114,"L1"
"106","L1 1","gp",2,"b","!","{The_mother_dressed_herself}","1",3563,"L1"
"107","L1 1","gap",3,"a","0","-","-",9763,"L1"
"108","L1 1","gap",3,"a","!","{The_ship}","0",2644,"L1"
"109","L1 1","filler",44,"-","0","-","-",4387,"L1"
"110","L1 1","filler",44,"-","!","{No}","1",2340,"L1"
"111","L1 1","gp",12,"d","0","-","-",4900,"L1"
"112","L1 1","gp",12,"d","!","{The_baby}","1",1747,"L1"
"113","L1 1","filler",23,"-","0","-","-",4006,"L1"
"114","L1 1","filler",23,"-","!","{The_tree}","1",1823,"L1"
"115","L1 1","gp",18,"b","0","-","-",4411,"L1"
"116","L1 1","gp",18,"b","!","{The_father_washed_himself}","1",2748,"L1"
"117","L1 1","filler",4,"-","0","-","-",2787,"L1"
"118","L1 1","gap",24,"b","0","-","-",6898,"L1"
"119","L1 1","gap",24,"b","!","{No}","1",3237,"L1"
"120","L1 1","filler",25,"-","0","-","-",3149,"L1"
"121","L1 1","filler",25,"-","!","{Yes}","1",2271,"L1"
"122","L1 1","gap",23,"a","0","-","-",5104,"L1"
"123","L1 1","gap",23,"a","!","{Yes}","0",2275,"L1"
"124","L1 1","filler",18,"-","0","-","-",5736,"L1"
"125","L1 1","gp",1,"a","0","-","-",3168,"L1"
"126","L1 1","gp",1,"a","!","{The_lawyer_calmed_himself_down}","1",4765,"L1"
"127","L1 1","filler",43,"-","0","-","-",5498,"L1"
"128","L1 1","filler",43,"-","!","{The_girlfriend}","1",4424,"L1"
"129","L1 1","gp",10,"b","0","-","-",4849,"L1"
"130","L1 1","gp",10,"b","!","{The_two_soldiers_fought_each_other}","1",3444,"L1"
"131","L1 1","filler",46,"-","0","-","-",3581,"L1"
"132","L1 1","gp",11,"c","0","-","-",3770,"L1"
"133","L1 1","gp",11,"c","!","{The_friend}","1",1691,"L1"
"134","L1 1","filler",14,"-","0","-","-",6320,"L1"
"135","L1 1","gp",13,"a","0","-","-",7652,"L1"
"136","L1 1","gp",13,"a","!","{The_girl_calmed_herself_down}","1",1904,"L1"
"137","L1 1","filler",7,"-","0","-","-",6354,"L1"
"138","L1 1","filler",7,"-","!","{Yes}","1",3353,"L1"
"139","L1 1","gp",24,"d","0","-","-",5284,"L1"
"140","L1 1","gp",24,"d","!","{The_director}","1",2375,"L1"
"141","L1 1","filler",41,"-","0","-","-",3160,"L1"
"142","L1 1","filler",41,"-","!","{Yes}","1",2522,"L1"
"143","L1 1","gp",16,"d","0","-","-",7749,"L1"
"144","L1 1","gp",16,"d","!","{The_assistant}","1",1960,"L1"
"145","L1 1","filler",8,"-","0","-","-",4393,"L1"
"146","L1 1","gp",21,"a","0","-","-",7780,"L1"
"147","L1 1","gp",21,"a","!","{Anna_dressed_herself}","1",1626,"L1"
"148","L1 1","filler",13,"-","0","-","-",5465,"L1"
"149","L1 1","filler",13,"-","!","{The_moderator}","1",2204,"L1"
"150","L1 1","gp",22,"b","0","-","-",5617,"L1"
"151","L1 1","gp",22,"b","!","{The_two_footballers_fought_each_other}","1",2226,"L1"
"152","L1 1","filler",27,"-","0","-","-",3229,"L1"
"153","L1 1","filler",27,"-","!","{Yes}","1",4377,"L1"
"154","L1 1","gap",4,"b","0","-","-",3525,"L1"
"155","L1 1","gap",4,"b","!","{The_door}","1",2134,"L1"
"156","L1 1","filler",38,"-","0","-","-",4464,"L1"
"157","L1 1","filler",38,"-","!","{No}","1",2838,"L1"
"158","L1 1","gp",15,"c","0","-","-",9105,"L1"
"159","L1 1","gp",15,"c","!","{The_boy}","1",3248,"L1"
"160","L1 1","filler",10,"-","0","-","-",6674,"L1"
"161","L1 1","gap",18,"b","0","-","-",3523,"L1"
"162","L1 1","gap",18,"b","!","{No}","1",2996,"L1"
"163","L1 1","filler",39,"-","0","-","-",8591,"L1"
"164","L1 1","gap",17,"a","0","-","-",3781,"L1"
"165","L1 1","gap",17,"a","!","{No}","1",3227,"L1"
"166","L1 1","filler",2,"-","0","-","-",3359,"L1"
"167","L1 1","gap",5,"a","0","-","-",6241,"L1"
"168","L1 1","gap",5,"a","!","{The_car}","1",4305,"L1"
"169","L1 1","filler",47,"-","0","-","-",3175,"L1"
"170","L1 1","gp",23,"c","0","-","-",4358,"L1"
"171","L1 1","gp",23,"c","!","{The_child}","1",4003,"L1"
"172","L1 1","filler",17,"-","0","-","-",3965,"L1"
"173","L1 1","filler",17,"-","!","{Yes}","1",1687,"L1"
"174","L1 1","gp",8,"d","0","-","-",3081,"L1"
"175","L1 1","gp",8,"d","!","{The_boy}","1",1513,"L1"
"176","L1 1","filler",9,"-","0","-","-",5584,"L1"
"177","L1 1","filler",9,"-","!","{The_baby}","1",2184,"L1"
"178","L1 1","gap",15,"a","0","-","-",8324,"L1"
"179","L1 1","gap",15,"a","!","{No}","1",1968,"L1"
"180","L1 1","filler",12,"-","0","-","-",3966,"L1"
"181","L1 2","practice",1,"-","0","-","-",5768,"L1"
"182","L1 2","practice",2,"-","0","-","-",5456,"L1"
"183","L1 2","practice",2,"-","!","{Yes}","1",1878,"L1"
"184","L1 2","practice",3,"-","0","-","-",2209,"L1"
"185","L1 2","practice",4,"-","0","-","-",3725,"L1"
"186","L1 2","practice",4,"-","!","{Yes}","1",1760,"L1"
"187","L1 2","practice",5,"-","0","-","-",1917,"L1"
"188","L1 2","practice",6,"-","0","-","-",2980,"L1"
"189","L1 2","practice",6,"-","!","{A_drink}","1",1435,"L1"
"190","L1 2","practice",7,"-","0","-","-",1672,"L1"
"191","L1 2","practice",8,"-","0","-","-",3071,"L1"
"192","L1 2","practice",8,"-","!","{No}","1",1295,"L1"
"193","L1 2","filler",48,"-","0","-","-",5952,"L1"
"194","L1 2","gp",16,"a","0","-","-",7234,"L1"
"195","L1 2","gp",16,"a","!","{The_researcher_woke_himself_up}","1",3657,"L1"
"196","L1 2","filler",37,"-","0","-","-",5124,"L1"
"197","L1 2","filler",37,"-","!","{No}","1",3364,"L1"
"198","L1 2","gap",10,"a","0","-","-",7414,"L1"
"199","L1 2","gap",10,"a","!","{The_car}","1",2074,"L1"
"200","L1 2","filler",10,"-","0","-","-",8018,"L1"
"201","L1 2","gp",17,"b","0","-","-",4808,"L1"
"202","L1 2","gp",17,"b","!","{The_two_men_fought_each_other}","1",2911,"L1"
"203","L1 2","filler",47,"-","0","-","-",3621,"L1"
"204","L1 2","gap",14,"a","0","-","-",6067,"L1"
"205","L1 2","gap",14,"a","!","{Yes}","0",2003,"L1"
"206","L1 2","filler",1,"-","0","-","-",4268,"L1"
"207","L1 2","filler",1,"-","!","{Yes}","1",1517,"L1"
"208","L1 2","gp",4,"a","0","-","-",7346,"L1"
"209","L1 2","gp",4,"a","!","{The_two_children_hugged_their_friend}","0",2561,"L1"
"210","L1 2","filler",7,"-","0","-","-",7718,"L1"
"211","L1 2","filler",7,"-","!","{No}","0",3475,"L1"
"212","L1 2","gap",20,"a","0","-","-",5290,"L1"
"213","L1 2","gap",20,"a","!","{No}","1",2414,"L1"
"214","L1 2","filler",25,"-","0","-","-",8027,"L1"
"215","L1 2","filler",25,"-","!","{Yes}","1",1187,"L1"
"216","L1 2","gp",15,"d","0","-","-",3568,"L1"
"217","L1 2","gp",15,"d","!","{The_boy}","1",1028,"L1"
"218","L1 2","filler",14,"-","0","-","-",11901,"L1"
"219","L1 2","gap",1,"b","0","-","-",11766,"L1"
"220","L1 2","gap",1,"b","!","{The_car}","0",2714,"L1"
"221","L1 2","filler",5,"-","0","-","-",3200,"L1"
"222","L1 2","gp",2,"c","0","-","-",4187,"L1"
"223","L1 2","gp",2,"c","!","{The_mother}","0",2794,"L1"
"224","L1 2","filler",42,"-","0","-","-",2565,"L1"
"225","L1 2","filler",42,"-","!","{The_grandmother}","1",1737,"L1"
"226","L1 2","gap",3,"b","0","-","-",9436,"L1"
"227","L1 2","gap",3,"b","!","{The_island}","1",1319,"L1"
"228","L1 2","filler",15,"-","0","-","-",5669,"L1"
"229","L1 2","gp",10,"c","0","-","-",5184,"L1"
"230","L1 2","gp",10,"c","!","{The_two_soldiers}","0",1124,"L1"
"231","L1 2","filler",19,"-","0","-","-",4902,"L1"
"232","L1 2","filler",19,"-","!","{No}","1",1866,"L1"
"233","L1 2","gap",6,"a","0","-","-",4062,"L1"
"234","L1 2","gap",6,"a","!","{The_race}","1",1820,"L1"
"235","L1 2","filler",18,"-","0","-","-",3368,"L1"
"236","L1 2","gap",23,"b","0","-","-",5479,"L1"
"237","L1 2","gap",23,"b","!","{Yes}","0",3213,"L1"
"238","L1 2","filler",32,"-","0","-","-",5743,"L1"
"239","L1 2","filler",32,"-","!","{Edward}","1",1526,"L1"
"240","L1 2","gp",6,"c","0","-","-",9151,"L1"
"241","L1 2","gp",6,"c","!","{The_neighbour}","1",972,"L1"
"242","L1 2","filler",2,"-","0","-","-",3581,"L1"
"243","L1 2","gap",9,"b","0","-","-",5404,"L1"
"244","L1 2","gap",9,"b","!","{The_table}","1",1392,"L1"
"245","L1 2","filler",45,"-","0","-","-",4581,"L1"
"246","L1 2","gp",19,"d","0","-","-",7389,"L1"
"247","L1 2","gp",19,"d","!","{The_basketball_player}","1",1542,"L1"
"248","L1 2","gap",4,"a","0","-","-",5731,"L1"
"249","L1 2","gap",4,"a","!","{The_door}","1",1155,"L1"
"250","L1 2","filler",34,"-","0","-","-",7297,"L1"
"251","L1 2","filler",34,"-","!","{The_lake}","1",1006,"L1"
"252","L1 2","gap",12,"a","0","-","-",6163,"L1"
"253","L1 2","gap",12,"a","!","{The_bread}","1",2868,"L1"
"254","L1 2","filler",27,"-","0","-","-",4810,"L1"
"255","L1 2","filler",27,"-","!","{No}","0",2325,"L1"
"256","L1 2","gap",5,"b","0","-","-",5476,"L1"
"257","L1 2","gap",5,"b","!","{The_car}","1",1342,"L1"
"258","L1 2","filler",38,"-","0","-","-",4557,"L1"
"259","L1 2","filler",38,"-","!","{No}","1",2443,"L1"
"260","L1 2","gp",20,"a","0","-","-",5120,"L1"
"261","L1 2","gp",20,"a","!","{The_two_friends_met_each_other}","1",2585,"L1"
"262","L1 2","filler",22,"-","0","-","-",3624,"L1"
"263","L1 2","filler",22,"-","!","{Yes}","1",2491,"L1"
"264","L1 2","gp",14,"c","0","-","-",15480,"L1"
"265","L1 2","gp",14,"c","!","{The_nurse}","1",1586,"L1"
"266","L1 2","filler",26,"-","0","-","-",4028,"L1"
"267","L1 2","filler",26,"-","!","{The_classroom}","1",1651,"L1"
"268","L1 2","gp",8,"a","0","-","-",6755,"L1"
"269","L1 2","gp",8,"a","!","{Mary_dressed_the_boy}","0",1956,"L1"
"270","L1 2","filler",16,"-","0","-","-",3709,"L1"
"271","L1 2","gap",11,"b","0","-","-",4505,"L1"
"272","L1 2","gap",11,"b","!","{The_table}","1",954,"L1"
"273","L1 2","filler",40,"-","0","-","-",5179,"L1"
"274","L1 2","gp",1,"b","0","-","-",2699,"L1"
"275","L1 2","gp",1,"b","!","{The_lawyer_calmed_himself_down}","1",2505,"L1"
"276","L1 2","filler",29,"-","0","-","-",3501,"L1"
"277","L1 2","filler",29,"-","!","{Yes}","1",1289,"L1"
"278","L1 2","gap",18,"a","0","-","-",8060,"L1"
"279","L1 2","gap",18,"a","!","{Yes}","0",1017,"L1"
"280","L1 2","filler",30,"-","0","-","-",4899,"L1"
"281","L1 2","filler",30,"-","!","{The_VIP}","1",2444,"L1"
"282","L1 2","gap",17,"b","0","-","-",5185,"L1"
"283","L1 2","gap",17,"b","!","{Yes}","0",2780,"L1"
"284","L1 2","filler",31,"-","0","-","-",4998,"L1"
"285","L1 2","gp",12,"a","0","-","-",3499,"L1"
"286","L1 2","gp",12,"a","!","{The_nurse_washed_the_baby}","0",2174,"L1"
"287","L1 2","filler",28,"-","0","-","-",6455,"L1"
"288","L1 2","gp",24,"a","0","-","-",4612,"L1"
"289","L1 2","gp",24,"a","!","{The_two_actresses_met_the_director}","0",2652,"L1"
"290","L1 2","filler",23,"-","0","-","-",4589,"L1"
"291","L1 2","filler",23,"-","!","{The_tree}","1",1905,"L1"
"292","L1 2","gp",3,"d","0","-","-",4289,"L1"
"293","L1 2","gp",3,"d","!","{The_president}","1",1444,"L1"
"294","L1 2","filler",9,"-","0","-","-",2939,"L1"
"295","L1 2","filler",9,"-","!","{The_baby}","1",1306,"L1"
"296","L1 2","gp",23,"d","0","-","-",4385,"L1"
"297","L1 2","gp",23,"d","!","{The_child}","1",1108,"L1"
"298","L1 2","filler",8,"-","0","-","-",5206,"L1"
"299","L1 2","gap",21,"b","0","-","-",6021,"L1"
"300","L1 2","gap",21,"b","!","{Yes}","0",1187,"L1"
"301","L1 2","filler",13,"-","0","-","-",5023,"L1"
"302","L1 2","filler",13,"-","!","{The_moderator}","1",1607,"L1"
"303","L1 2","gap",15,"b","0","-","-",7937,"L1"
"304","L1 2","gap",15,"b","!","{Yes}","0",1954,"L1"
"305","L1 2","filler",11,"-","0","-","-",5580,"L1"
"306","L1 2","gp",9,"b","0","-","-",2218,"L1"
"307","L1 2","gp",9,"b","!","{The_pianist_calmed_himself_down}","1",3468,"L1"
"308","L1 2","filler",39,"-","0","-","-",6254,"L1"
"309","L1 2","gap",19,"b","0","-","-",7550,"L1"
"310","L1 2","gap",19,"b","!","{No}","1",1110,"L1"
"311","L1 2","filler",17,"-","0","-","-",4811,"L1"
"312","L1 2","filler",17,"-","!","{Yes}","1",2201,"L1"
"313","L1 2","gp",5,"b","0","-","-",5668,"L1"
"314","L1 2","gp",5,"b","!","{The_father_washed_himself}","1",1921,"L1"
"315","L1 2","filler",43,"-","0","-","-",2814,"L1"
"316","L1 2","filler",43,"-","!","{The_girlfriend}","1",1654,"L1"
"317","L1 2","gap",13,"b","0","-","-",6376,"L1"
"318","L1 2","gap",13,"b","!","{Yes}","0",931,"L1"
"319","L1 2","filler",6,"-","0","-","-",3498,"L1"
"320","L1 2","gap",8,"a","0","-","-",5172,"L1"
"321","L1 2","gap",8,"a","!","{The_church}","1",1400,"L1"
"322","L1 2","filler",21,"-","0","-","-",7512,"L1"
"323","L1 2","gp",11,"d","0","-","-",2194,"L1"
"324","L1 2","gp",11,"d","!","{The_friend}","1",1136,"L1"
"325","L1 2","filler",4,"-","0","-","-",2369,"L1"
"326","L1 2","gap",24,"a","0","-","-",7317,"L1"
"327","L1 2","gap",24,"a","!","{No}","1",936,"L1"
"328","L1 2","filler",33,"-","0","-","-",1816,"L1"
"329","L1 2","filler",33,"-","!","{The_elephant}","1",1181,"L1"
"330","L1 2","gap",2,"a","0","-","-",7103,"L1"
"331","L1 2","gap",2,"a","!","{The_truck}","1",2852,"L1"
"332","L1 2","filler",36,"-","0","-","-",3765,"L1"
"333","L1 2","gap",22,"a","0","-","-",3981,"L1"
"334","L1 2","gap",22,"a","!","{No}","1",2509,"L1"
"335","L1 2","filler",20,"-","0","-","-",3510,"L1"
"336","L1 2","filler",20,"-","!","{Two_days}","1",1741,"L1"
"337","L1 2","gap",16,"a","0","-","-",9422,"L1"
"338","L1 2","gap",16,"a","!","{Yes}","0",1518,"L1"
"339","L1 2","filler",35,"-","0","-","-",2788,"L1"
"340","L1 2","filler",35,"-","!","{The_spaghetti}","1",1026,"L1"
"341","L1 2","gp",21,"b","0","-","-",2691,"L1"
"342","L1 2","gp",21,"b","!","{Anna_dressed_herself}","1",1236,"L1"
"343","L1 2","filler",24,"-","0","-","-",3003,"L1"
"344","L1 2","gp",18,"c","0","-","-",4779,"L1"
"345","L1 2","gp",18,"c","!","{The_baby}","1",2386,"L1"
"346","L1 2","filler",46,"-","0","-","-",6026,"L1"
"347","L1 2","gp",22,"c","0","-","-",6143,"L1"
"348","L1 2","gp",22,"c","!","{The_coach}","1",2255,"L1"
"349","L1 2","filler",44,"-","0","-","-",2596,"L1"
"350","L1 2","filler",44,"-","!","{No}","1",1471,"L1"
"351","L1 2","gp",13,"b","0","-","-",4196,"L1"
"352","L1 2","gp",13,"b","!","{The_girl_calmed_herself_down}","1",1454,"L1"
"353","L1 2","filler",41,"-","0","-","-",4232,"L1"
"354","L1 2","filler",41,"-","!","{Yes}","1",2618,"L1"
"355","L1 2","gap",7,"b","0","-","-",8693,"L1"
"356","L1 2","gap",7,"b","!","{The_tower}","0",2391,"L1"
"357","L1 2","filler",12,"-","0","-","-",3498,"L1"
"358","L1 2","gp",7,"d","0","-","-",5453,"L1"
"359","L1 2","gp",7,"d","!","{The_lady}","1",953,"L1"
"360","L1 2","filler",3,"-","0","-","-",4933,"L1"
"361","L1 3","practice",1,"-","0","-","-",2730,"L1"
"362","L1 3","practice",2,"-","0","-","-",8486,"L1"
"363","L1 3","practice",2,"-","!","{Yes}","1",2433,"L1"
"364","L1 3","practice",3,"-","0","-","-",1595,"L1"
"365","L1 3","practice",4,"-","0","-","-",3690,"L1"
"366","L1 3","practice",4,"-","!","{Yes}","1",1238,"L1"
"367","L1 3","practice",5,"-","0","-","-",1171,"L1"
"368","L1 3","practice",6,"-","0","-","-",4415,"L1"
"369","L1 3","practice",6,"-","!","{A_drink}","1",1654,"L1"
"370","L1 3","practice",7,"-","0","-","-",1292,"L1"
"371","L1 3","practice",8,"-","0","-","-",3116,"L1"
"372","L1 3","practice",8,"-","!","{No}","1",2098,"L1"
"373","L1 3","filler",48,"-","0","-","-",5639,"L1"
"374","L1 3","gap",11,"a","0","-","-",10601,"L1"
"375","L1 3","gap",11,"a","!","{The_table}","1",1636,"L1"
"376","L1 3","filler",7,"-","0","-","-",6934,"L1"
"377","L1 3","filler",7,"-","!","{No}","0",4433,"L1"
"378","L1 3","gp",4,"b","0","-","-",7373,"L1"
"379","L1 3","gp",4,"b","!","{The_two_children_hugged_each_other}","1",4729,"L1"
"380","L1 3","filler",18,"-","0","-","-",3140,"L1"
"381","L1 3","gp",20,"b","0","-","-",5470,"L1"
"382","L1 3","gp",20,"b","!","{The_two_friends_met_each_other}","1",3223,"L1"
"383","L1 3","filler",47,"-","0","-","-",8485,"L1"
"384","L1 3","gap",13,"a","0","-","-",9013,"L1"
"385","L1 3","gap",13,"a","!","{Yes}","0",2733,"L1"
"386","L1 3","filler",4,"-","0","-","-",3061,"L1"
"387","L1 3","gap",6,"b","0","-","-",8487,"L1"
"388","L1 3","gap",6,"b","!","{The_race}","1",2839,"L1"
"389","L1 3","filler",16,"-","0","-","-",4239,"L1"
"390","L1 3","gap",14,"b","0","-","-",15867,"L1"
"391","L1 3","gap",14,"b","!","{Yes}","0",2678,"L1"
"392","L1 3","filler",21,"-","0","-","-",5266,"L1"
"393","L1 3","gp",12,"b","0","-","-",7412,"L1"
"394","L1 3","gp",12,"b","!","{The_nurse_washed_herself}","1",3367,"L1"
"395","L1 3","filler",9,"-","0","-","-",7401,"L1"
"396","L1 3","filler",9,"-","!","{The_baby}","1",2189,"L1"
"397","L1 3","gap",1,"a","0","-","-",14887,"L1"
"398","L1 3","gap",1,"a","!","{The_bicycle}","1",2090,"L1"
"399","L1 3","filler",45,"-","0","-","-",5449,"L1"
"400","L1 3","gp",18,"d","0","-","-",5686,"L1"
"401","L1 3","gp",18,"d","!","{The_baby}","1",1989,"L1"
"402","L1 3","filler",34,"-","0","-","-",4521,"L1"
"403","L1 3","filler",34,"-","!","{The_lake}","1",4491,"L1"
"404","L1 3","gp",22,"d","0","-","-",9656,"L1"
"405","L1 3","gp",22,"d","!","{The_coach}","1",2556,"L1"
"406","L1 3","filler",33,"-","0","-","-",5424,"L1"
"407","L1 3","filler",33,"-","!","{The_elephant}","1",3607,"L1"
"408","L1 3","gp",9,"c","0","-","-",12911,"L1"
"409","L1 3","gp",9,"c","!","{The_pianist}","0",12669,"L1"
"410","L1 3","filler",2,"-","0","-","-",9244,"L1"
"411","L1 3","gp",6,"d","0","-","-",5195,"L1"
"412","L1 3","gp",6,"d","!","{The_neighbour}","1",1922,"L1"
"413","L1 3","filler",32,"-","0","-","-",11061,"L1"
"414","L1 3","filler",32,"-","!","{Edward}","1",5168,"L1"
"415","L1 3","gap",23,"a","0","-","-",10369,"L1"
"416","L1 3","gap",23,"a","!","{Yes}","0",6209,"L1"
"417","L1 3","filler",36,"-","0","-","-",3870,"L1"
"418","L1 3","gap",2,"b","0","-","-",13600,"L1"
"419","L1 3","gap",2,"b","!","{The_truck}","1",6286,"L1"
"420","L1 3","filler",42,"-","0","-","-",4778,"L1"
"421","L1 3","filler",42,"-","!","{The_grandmother}","1",2016,"L1"
"422","L1 3","gap",24,"b","0","-","-",15573,"L1"
"423","L1 3","gap",24,"b","!","{No}","1",2442,"L1"
"424","L1 3","filler",25,"-","0","-","-",8294,"L1"
"425","L1 3","filler",25,"-","!","{Yes}","1",2512,"L1"
"426","L1 3","gp",13,"c","0","-","-",19741,"L1"
"427","L1 3","gp",13,"c","!","{The_boy}","1",1870,"L1"
"428","L1 3","filler",14,"-","0","-","-",7373,"L1"
"429","L1 3","gp",24,"b","0","-","-",4475,"L1"
"430","L1 3","gp",24,"b","!","{The_two_actresses_met_each_other}","1",2743,"L1"
