"","subject","type","item","condition","question","correct_answer","response","rt","group"
"1","L1 1","practice",1,"-","0","-","-",2511,"L1"
"2","L1 1","practice",2,"-","0","-","-",4463,"L1"
"3","L1 1","practice",2,"-","!","{Yes}","1",1574,"L1"
"4","L1 1","practice",3,"-","0","-","-",1458,"L1"
"5","L1 1","practice",4,"-","0","-","-",2576,"L1"
"6","L1 1","practice",4,"-","!","{Yes}","1",1178,"L1"
"7","L1 1","practice",5,"-","0","-","-",770,"L1"
"8","L1 1","practice",6,"-","0","-","-",3466,"L1"
"9","L1 1","practice",6,"-","!","{A_drink}","1",1559,"L1"
"10","L1 1","practice",7,"-","0","-","-",742,"L1"
"11","L1 1","practice",8,"-","0","-","-",2521,"L1"
"12","L1 1","practice",8,"-","!","{No}","1",2109,"L1"
"13","L1 1","filler",26,"-","0","-","-",3415,"L1"
"14","L1 1","filler",26,"-","!","{The_classroom}","1",2175,"L1"
"15","L1 1","gp",14,"b","0","-","-",3384,"L1"
"16","L1 1","gp",14,"b","!","{The_doctor_woke_himself_up}","1",3844,"L1"
"17","L1 1","filler",37,"-","0","-","-",4115,"L1"
"18","L1 1","filler",37,"-","!","{No}","1",2898,"L1"
"19","L1 1","gap",9,"a","0","-","-",7332,"L1"
"20","L1 1","gap",9,"a","!","{The_table}","1",3739,"L1"
"21","L1 1","filler",24,"-","0","-","-",3607,"L1"
"22","L1 1","gp",3,"c","0","-","-",4156,"L1"
"23","L1 1","gp",3,"c","!","{The_president}","1",1844,"L1"
"24","L1 1","filler",11,"-","0","-","-",3978,"L1"
"25","L1 1","gap",22,"b","0","-","-",4214,"L1"
"26","L1 1","gap",22,"b","!","{Yes}","0",3000,"L1"
"27","L1 1","filler",31,"-","0","-","-",3449,"L1"
"28","L1 1","gp",4,"d","0","-","-",3489,"L1"
"29","L1 1","gp",4,"d","!","{The_friend}","1",2138,"L1"
"30","L1 1","filler",42,"-","0","-","-",4058,"L1"
"31","L1 1","filler",42,"-","!","{The_grandmother}","1",2562,"L1"
"32","L1 1","gp",7,"c","0","-","-",5264,"L1"
"33","L1 1","gp",7,"c","!","{The_lady}","1",1510,"L1"
"34","L1 1","filler",48,"-","0","-","-",4186,"L1"
"35","L1 1","gap",1,"a","0","-","-",3889,"L1"
"36","L1 1","gap",1,"a","!","{The_car}","0",4587,"L1"
"37","L1 1","filler",30,"-","0","-","-",3015,"L1"
"38","L1 1","filler",30,"-","!","{The_VIP}","1",1932,"L1"
"39","L1 1","gap",7,"a","0","-","-",5502,"L1"
"40","L1 1","gap",7,"a","!","{The_sky}","1",1791,"L1"
"41","L1 1","filler",28,"-","0","-","-",4843,"L1"
"42","L1 1","gap",16,"b","0","-","-",6048,"L1"
"43","L1 1","gap",16,"b","!","{No}","1",2705,"L1"
