"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"17281","L1","L1 1",38,"spillover2","rp","spillover2 rp",6,0,2638,2638,"Unambiguous","Consistent",2638
"17283","L1","L1 1",39,"spillover2","rp","spillover2 rp",7,0,4957,4957,"Ambiguous","Inconsistent",4957
"17285","L1","L1 1",26,"spillover2","rp","spillover2 rp",6,0,1321,1321,"Unambiguous","Consistent",1321
"17287","L1","L1 1",34,"spillover2","rp","spillover2 rp",6,0,1817,1817,"Unambiguous","Consistent",1817
"17289","L1","L1 1",46,"spillover2","rp","spillover2 rp",6,0,6469,6469,"Unambiguous","Consistent",6469
"17291","L1","L1 1",29,"spillover2","rp","spillover2 rp",5,0,1038,1038,"Ambiguous","Consistent",1038
"17293","L1","L1 1",36,"spillover2","rp","spillover2 rp",8,0,10098,10098,"Unambiguous","Inconsistent",10098
"17295","L1","L1 1",30,"spillover2","rp","spillover2 rp",6,0,1082,1082,"Unambiguous","Consistent",1082
"17297","L1","L1 1",40,"spillover2","rp","spillover2 rp",8,0,2030,2030,"Unambiguous","Inconsistent",2030
"17299","L1","L1 1",33,"spillover2","rp","spillover2 rp",5,0,2975,2975,"Ambiguous","Consistent",2975
"17301","L1","L1 1",43,"spillover2","rp","spillover2 rp",7,0,897,897,"Ambiguous","Inconsistent",897
"17303","L1","L1 1",28,"spillover2","rp","spillover2 rp",8,0,2695,2695,"Unambiguous","Inconsistent",2695
"17305","L1","L1 1",31,"spillover2","rp","spillover2 rp",7,0,692,692,"Ambiguous","Inconsistent",692
"17307","L1","L1 1",45,"spillover2","rp","spillover2 rp",5,0,644,644,"Ambiguous","Consistent",644
"17309","L1","L1 1",25,"spillover2","rp","spillover2 rp",5,0,2355,2355,"Ambiguous","Consistent",2355
"17311","L1","L1 1",41,"spillover2","rp","spillover2 rp",5,0,8819,8819,"Ambiguous","Consistent",8819
"17313","L1","L1 1",42,"spillover2","rp","spillover2 rp",6,0,581,581,"Unambiguous","Consistent",581
"17315","L1","L1 1",37,"spillover2","rp","spillover2 rp",5,0,3940,3940,"Ambiguous","Consistent",3940
"17317","L1","L1 1",32,"spillover2","rp","spillover2 rp",8,0,1849,1849,"Unambiguous","Inconsistent",1849
"17319","L1","L1 1",48,"spillover2","rp","spillover2 rp",8,0,2244,2244,"Unambiguous","Inconsistent",2244
"17321","L1","L1 1",47,"spillover2","rp","spillover2 rp",7,0,780,780,"Ambiguous","Inconsistent",780
"17323","L1","L1 1",44,"spillover2","rp","spillover2 rp",8,0,2182,2182,"Unambiguous","Inconsistent",2182
"17325","L1","L1 1",27,"spillover2","rp","spillover2 rp",7,0,6528,6528,"Ambiguous","Inconsistent",6528
"17327","L1","L1 1",35,"spillover2","rp","spillover2 rp",7,0,204,204,"Ambiguous","Inconsistent",204
"17329","L1","L1 2",46,"spillover2","rp","spillover2 rp",7,0,16001,16001,"Ambiguous","Inconsistent",NA
"17331","L1","L1 2",25,"spillover2","rp","spillover2 rp",6,0,1232,1232,"Unambiguous","Consistent",1232
"17333","L1","L1 2",39,"spillover2","rp","spillover2 rp",8,0,5152,5152,"Unambiguous","Inconsistent",5152
"17335","L1","L1 2",38,"spillover2","rp","spillover2 rp",7,0,786,786,"Ambiguous","Inconsistent",786
"17337","L1","L1 2",30,"spillover2","rp","spillover2 rp",7,0,1099,1099,"Ambiguous","Inconsistent",1099
"17339","L1","L1 2",27,"spillover2","rp","spillover2 rp",8,0,9085,9085,"Unambiguous","Inconsistent",9085
"17341","L1","L1 2",29,"spillover2","rp","spillover2 rp",6,0,6373,6373,"Unambiguous","Consistent",6373
"17343","L1","L1 2",33,"spillover2","rp","spillover2 rp",6,0,569,569,"Unambiguous","Consistent",569
"17345","L1","L1 2",32,"spillover2","rp","spillover2 rp",5,0,1387,1387,"Ambiguous","Consistent",1387
"17347","L1","L1 2",43,"spillover2","rp","spillover2 rp",8,0,2263,2263,"Unambiguous","Inconsistent",2263
"17349","L1","L1 2",45,"spillover2","rp","spillover2 rp",6,0,446,446,"Unambiguous","Consistent",446
"17351","L1","L1 2",48,"spillover2","rp","spillover2 rp",5,0,501,501,"Ambiguous","Consistent",501
"17353","L1","L1 2",47,"spillover2","rp","spillover2 rp",8,0,824,824,"Unambiguous","Inconsistent",824
"17355","L1","L1 2",31,"spillover2","rp","spillover2 rp",8,0,1751,1751,"Unambiguous","Inconsistent",1751
"17357","L1","L1 2",26,"spillover2","rp","spillover2 rp",7,0,112,112,"Ambiguous","Inconsistent",112
"17359","L1","L1 2",42,"spillover2","rp","spillover2 rp",7,0,818,818,"Ambiguous","Inconsistent",818
"17361","L1","L1 2",36,"spillover2","rp","spillover2 rp",5,0,1220,1220,"Ambiguous","Consistent",1220
"17363","L1","L1 2",35,"spillover2","rp","spillover2 rp",8,0,826,826,"Unambiguous","Inconsistent",826
"17365","L1","L1 2",44,"spillover2","rp","spillover2 rp",5,0,508,508,"Ambiguous","Consistent",508
"17367","L1","L1 2",41,"spillover2","rp","spillover2 rp",6,0,2183,2183,"Unambiguous","Consistent",2183
"17369","L1","L1 2",37,"spillover2","rp","spillover2 rp",6,0,2470,2470,"Unambiguous","Consistent",2470
"17371","L1","L1 2",40,"spillover2","rp","spillover2 rp",5,0,616,616,"Ambiguous","Consistent",616
"17373","L1","L1 2",28,"spillover2","rp","spillover2 rp",5,0,634,634,"Ambiguous","Consistent",634
