"","subject","type","item","condition","question","correct_answer","response","rt","group","clause_q","z_scored_rt"
"15","L1 1","gp",14,"0.5","0","-","-",3384,"L1","-0.5",-0.506089437865067
"22","L1 1","gp",3,"-0.5","0","-","-",4156,"L1","0.5",-0.192709373320872
"28","L1 1","gp",4,"0.5","0","-","-",3489,"L1","0.5",-0.463466501625248
"32","L1 1","gp",7,"-0.5","0","-","-",5264,"L1","0.5",0.257064087190744
"61","L1 1","gp",9,"-0.5","0","-","-",5412,"L1","-0.5",0.317142130652585
"67","L1 1","gp",6,"0.5","0","-","-",3704,"L1","-0.5",-0.376190965515142
"74","L1 1","gp",5,"-0.5","0","-","-",6646,"L1","-0.5",0.818063114651984
"88","L1 1","gp",20,"0.5","0","-","-",6440,"L1","0.5",0.734440973076719
"91","L1 1","gp",19,"-0.5","0","-","-",3546,"L1","0.5",-0.440328336237917
"99","L1 1","gp",17,"-0.5","0","-","-",4075,"L1","-0.5",-0.225589924134447
"105","L1 1","gp",2,"0.5","0","-","-",3114,"L1","-0.5",-0.615691273910316
"111","L1 1","gp",12,"0.5","0","-","-",4900,"L1","0.5",0.109304574892704
"115","L1 1","gp",18,"0.5","0","-","-",4411,"L1","-0.5",-0.0891965281670255
"125","L1 1","gp",1,"-0.5","0","-","-",3168,"L1","-0.5",-0.593770906701267
"129","L1 1","gp",10,"0.5","0","-","-",4849,"L1","-0.5",0.0886020058619347
"132","L1 1","gp",11,"-0.5","0","-","-",3770,"L1","0.5",-0.34939940559297
"135","L1 1","gp",13,"-0.5","0","-","-",7652,"L1","-0.5",1.22643143710206
"139","L1 1","gp",24,"0.5","0","-","-",5284,"L1","0.5",0.265182741712614
"143","L1 1","gp",16,"0.5","0","-","-",7749,"L1","0.5",1.26580691153313
"146","L1 1","gp",21,"-0.5","0","-","-",7780,"L1","-0.5",1.27839082604203
"150","L1 1","gp",22,"0.5","0","-","-",5617,"L1","-0.5",0.400358339501755
"158","L1 1","gp",15,"-0.5","0","-","-",9105,"L1","0.5",1.81625168811594
"170","L1 1","gp",23,"-0.5","0","-","-",4358,"L1","0.5",-0.110710962649982
"174","L1 1","gp",8,"0.5","0","-","-",3081,"L1","0.5",-0.629087053871402
"194","L1 2","gp",16,"-0.5","0","-","-",7234,"L1","-0.5",1.05675155759497
"201","L1 2","gp",17,"0.5","0","-","-",4808,"L1","-0.5",0.0719587640921005
"208","L1 2","gp",4,"-0.5","0","-","-",7346,"L1","-0.5",1.10221602291745
"216","L1 2","gp",15,"0.5","0","-","-",3568,"L1","0.5",-0.43139781626386
"222","L1 2","gp",2,"-0.5","0","-","-",4187,"L1","0.5",-0.180125458811973
"229","L1 2","gp",10,"-0.5","0","-","-",5184,"L1","0.5",0.224589469103263
"240","L1 2","gp",6,"-0.5","0","-","-",9151,"L1","0.5",1.83492459351624
"246","L1 2","gp",19,"0.5","0","-","-",7389,"L1","0.5",1.11967113013947
"260","L1 2","gp",20,"-0.5","0","-","-",5120,"L1","-0.5",0.198609774633278
"264","L1 2","gp",14,"-0.5","0","-","-",15480,"L1","0.5",4.40407281696211
"268","L1 2","gp",8,"-0.5","0","-","-",6755,"L1","-0.5",0.862309781796177
"274","L1 2","gp",1,"0.5","0","-","-",2699,"L1","-0.5",-0.784153355239126
"285","L1 2","gp",12,"-0.5","0","-","-",3499,"L1","-0.5",-0.459407174364313
"288","L1 2","gp",24,"-0.5","0","-","-",4612,"L1","-0.5",-0.00760405022222869
"292","L1 2","gp",3,"0.5","0","-","-",4289,"L1","0.5",-0.138720320750435
"296","L1 2","gp",23,"0.5","0","-","-",4385,"L1","0.5",-0.0997507790454569
"306","L1 2","gp",9,"0.5","0","-","-",2218,"L1","-0.5",-0.979406996490107
"313","L1 2","gp",5,"0.5","0","-","-",5668,"L1","-0.5",0.421060908532525
"323","L1 2","gp",11,"0.5","0","-","-",2194,"L1","0.5",-0.989149381916352
"341","L1 2","gp",21,"0.5","0","-","-",2691,"L1","-0.5",-0.787400817047874
"344","L1 2","gp",18,"-0.5","0","-","-",4779,"L1","0.5",0.0601867150353886
"347","L1 2","gp",22,"-0.5","0","-","-",6143,"L1","0.5",0.613878953426945
"351","L1 2","gp",13,"0.5","0","-","-",4196,"L1","-0.5",-0.176472064277132
"358","L1 2","gp",7,"0.5","0","-","-",5453,"L1","0.5",0.333785372422419
"378","L1 3","gp",4,"0.5","0","-","-",7373,"L1","-0.5",1.11317620652197
"381","L1 3","gp",20,"0.5","0","-","-",5470,"L1","-0.5",0.340686228766008
"393","L1 3","gp",12,"0.5","0","-","-",7412,"L1","-0.5",1.12900758283962
"400","L1 3","gp",18,"0.5","0","-","-",5686,"L1","0.5",0.428367697602208
