"","subject","type","item","condition","question","correct_answer","response","rt","group","clause_q","z_scored_rt"
"404","L1 3","gp",22,"0.5","0","-","-",9656,"L1","0.5",2.03992062019347
"408","L1 3","gp",9,"-0.5","0","-","-",12911,"L1","0.5",3.36123164362786
"411","L1 3","gp",6,"0.5","0","-","-",5195,"L1","0.5",0.229054729090291
"426","L1 3","gp",13,"-0.5","0","-","-",19741,"L1","0.5",6.13375216284658
"429","L1 3","gp",24,"0.5","0","-","-",4475,"L1","-0.5",-0.0632168336970405
"435","L1 3","gp",15,"-0.5","0","-","-",11292,"L1","-0.5",2.70402656008246
"447","L1 3","gp",23,"-0.5","0","-","-",10354,"L1","-0.5",2.32326166300674
"455","L1 3","gp",1,"-0.5","0","-","-",11076,"L1","0.5",2.61634509124626
"470","L1 3","gp",14,"0.5","0","-","-",7494,"L1","0.5",1.16229406637929
"477","L1 3","gp",7,"-0.5","0","-","-",10055,"L1","-0.5",2.20188777790478
"481","L1 3","gp",16,"0.5","0","-","-",5230,"L1","-0.5",0.243262374503564
"498","L1 3","gp",11,"-0.5","0","-","-",11376,"L1","-0.5",2.73812490907432
"501","L1 3","gp",21,"-0.5","0","-","-",6568,"L1","0.5",0.78640036201669
"507","L1 3","gp",19,"-0.5","0","-","-",14297,"L1","-0.5",3.92385440199348
"518","L1 3","gp",5,"-0.5","0","-","-",8437,"L1","0.5",1.54508862708547
"524","L1 3","gp",3,"-0.5","0","-","-",9621,"L1","-0.5",2.0257129747802
"528","L1 3","gp",10,"0.5","0","-","-",14435,"L1","0.5",3.97987311819438
"531","L1 3","gp",17,"-0.5","0","-","-",12319,"L1","0.5",3.1209194697805
"534","L1 3","gp",8,"0.5","0","-","-",4599,"L1","-0.5",-0.0128811756614444
"537","L1 3","gp",2,"0.5","0","-","-",3891,"L1","0.5",-0.300281545735654
"558","L1 4","gp",11,"0.5","0","-","-",2231,"L1","-0.5",-0.974129871050891
"561","L1 4","gp",12,"-0.5","0","-","-",3115,"L1","0.5",-0.615285341184223
"570","L1 4","gp",21,"0.5","0","-","-",3842,"L1","0.5",-0.320172249314236
"573","L1 4","gp",24,"-0.5","0","-","-",4754,"L1","0.5",0.0500383968830507
"577","L1 4","gp",17,"0.5","0","-","-",2057,"L1","0.5",-1.04476216539116
"584","L1 4","gp",6,"-0.5","0","-","-",2830,"L1","-0.5",-0.730976168120875
"594","L1 4","gp",4,"-0.5","0","-","-",2963,"L1","0.5",-0.676987115550437
"598","L1 4","gp",16,"-0.5","0","-","-",3635,"L1","0.5",-0.404200323615594
"602","L1 4","gp",2,"-0.5","0","-","-",3400,"L1","-0.5",-0.499594514247571
"606","L1 4","gp",15,"0.5","0","-","-",3273,"L1","-0.5",-0.551147970461447
"613","L1 4","gp",8,"-0.5","0","-","-",3875,"L1","0.5",-0.30677646935315
"627","L1 4","gp",14,"-0.5","0","-","-",2550,"L1","-0.5",-0.84463733142706
"631","L1 4","gp",23,"0.5","0","-","-",2666,"L1","-0.5",-0.797549135200212
"637","L1 4","gp",13,"0.5","0","-","-",6078,"L1","0.5",0.587493326230866
"644","L1 4","gp",22,"-0.5","0","-","-",3316,"L1","-0.5",-0.533692863239426
"651","L1 4","gp",7,"0.5","0","-","-",2191,"L1","-0.5",-0.990367180094632
"655","L1 4","gp",1,"0.5","0","-","-",2340,"L1","0.5",-0.929883203906698
"662","L1 4","gp",20,"-0.5","0","-","-",2317,"L1","0.5",-0.939219656606849
"669","L1 4","gp",3,"0.5","0","-","-",2338,"L1","-0.5",-0.930695069358885
"672","L1 4","gp",9,"0.5","0","-","-",4530,"L1","0.5",-0.040890533761897
"687","L1 4","gp",10,"-0.5","0","-","-",2998,"L1","-0.5",-0.662779470137164
"693","L1 4","gp",18,"-0.5","0","-","-",1874,"L1","-0.5",-1.11904785426628
"700","L1 4","gp",5,"0.5","0","-","-",4477,"L1","0.5",-0.0624049682448534
"707","L1 4","gp",19,"0.5","0","-","-",2379,"L1","-0.5",-0.914051827589051
"737","L1 5","gp",19,"-0.5","0","-","-",3241,"L1","0.5",-0.56413781769644
"746","L1 5","gp",4,"0.5","0","-","-",4760,"L1","0.5",0.0524739932396118
"749","L1 5","gp",7,"-0.5","0","-","-",4277,"L1","0.5",-0.143591513463557
"756","L1 5","gp",16,"0.5","0","-","-",3505,"L1","0.5",-0.456971578007751
"764","L1 5","gp",1,"-0.5","0","-","-",2999,"L1","-0.5",-0.662373537411071
"770","L1 5","gp",2,"0.5","0","-","-",4890,"L1","-0.5",0.105245247631769
"777","L1 5","gp",3,"-0.5","0","-","-",6004,"L1","0.5",0.557454304499946
"780","L1 5","gp",18,"0.5","0","-","-",3585,"L1","-0.5",-0.42449695992027
"790","L1 5","gp",23,"-0.5","0","-","-",3447,"L1","0.5",-0.480515676121175
"797","L1 5","gp",21,"-0.5","0","-","-",2526,"L1","-0.5",-0.854379716853304
"807","L1 5","gp",13,"-0.5","0","-","-",6581,"L1","-0.5",0.791677487455905
"819","L1 5","gp",8,"0.5","0","-","-",3864,"L1","0.5",-0.311241729340179
"822","L1 5","gp",15,"-0.5","0","-","-",2722,"L1","0.5",-0.774816902538975
"826","L1 5","gp",14,"0.5","0","-","-",4740,"L1","-0.5",0.0443553387177414
"834","L1 5","gp",24,"0.5","0","-","-",4165,"L1","0.5",-0.189055978786031
"841","L1 5","gp",6,"0.5","0","-","-",5734,"L1","-0.5",0.447852468454697
"844","L1 5","gp",22,"0.5","0","-","-",4039,"L1","-0.5",-0.240203502273814
"852","L1 5","gp",11,"-0.5","0","-","-",2709,"L1","0.5",-0.780094027978191
"863","L1 5","gp",10,"0.5","0","-","-",3259,"L1","-0.5",-0.556831028626756
"872","L1 5","gp",17,"-0.5","0","-","-",2410,"L1","-0.5",-0.901467913080152
"876","L1 5","gp",5,"-0.5","0","-","-",2118,"L1","-0.5",-1.02000026909946
"884","L1 5","gp",9,"-0.5","0","-","-",3016,"L1","-0.5",-0.655472681067481
"887","L1 5","gp",20,"0.5","0","-","-",2237,"L1","0.5",-0.97169427469433
"897","L1 5","gp",12,"0.5","0","-","-",3706,"L1","0.5",-0.375379100062955
"914","L1 6","gp",5,"0.5","0","-","-",4361,"L1","-0.5",-0.109493164471701
"918","L1 6","gp",11,"0.5","0","-","-",2906,"L1","0.5",-0.700125280937768
"931","L1 6","gp",6,"-0.5","0","-","-",4961,"L1","0.5",0.134066471184409
"941","L1 6","gp",2,"-0.5","0","-","-",7443,"L1","0.5",1.14159149734852
"944","L1 6","gp",10,"-0.5","0","-","-",4597,"L1","0.5",-0.0136930411136314
"947","L1 6","gp",17,"0.5","0","-","-",3031,"L1","-0.5",-0.649383690176078
"954","L1 6","gp",15,"0.5","0","-","-",3339,"L1","0.5",-0.524356410539275
"962","L1 6","gp",20,"-0.5","0","-","-",2782,"L1","-0.5",-0.750460938973364
"969","L1 6","gp",3,"0.5","0","-","-",3185,"L1","0.5",-0.586870050357677
"972","L1 6","gp",9,"0.5","0","-","-",4387,"L1","-0.5",-0.0989389135932699
"983","L1 6","gp",7,"0.5","0","-","-",3258,"L1","0.5",-0.55723696135285
"991","L1 6","gp",24,"-0.5","0","-","-",2251,"L1","-0.5",-0.966011216529021
"997","L1 6","gp",12,"-0.5","0","-","-",8322,"L1","-0.5",1.49840636358472
"1000","L1 6","gp",13,"0.5","0","-","-",3419,"L1","-0.5",-0.491881792451794
"1014","L1 6","gp",8,"-0.5","0","-","-",5270,"L1","-0.5",0.259499683547305
"1018","L1 6","gp",16,"-0.5","0","-","-",4348,"L1","-0.5",-0.114770289910917
"1021","L1 6","gp",14,"-0.5","0","-","-",2731,"L1","0.5",-0.771163508004133
"1028","L1 6","gp",4,"-0.5","0","-","-",4466,"L1","-0.5",-0.0668702282318821
"1032","L1 6","gp",23,"0.5","0","-","-",2822,"L1","0.5",-0.734223629929623
"1049","L1 6","gp",1,"0.5","0","-","-",2689,"L1","-0.5",-0.788212682500061
"1053","L1 6","gp",22,"-0.5","0","-","-",3512,"L1","0.5",-0.454130048925097
"1067","L1 6","gp",18,"-0.5","0","-","-",2565,"L1","0.5",-0.838548340535657
"1074","L1 6","gp",19,"0.5","0","-","-",2952,"L1","0.5",-0.681452375537466
"1078","L1 6","gp",21,"0.5","0","-","-",3455,"L1","-0.5",-0.477268214312427
"1095","L1 7","gp",3,"-0.5","0","-","-",5657,"L1","-0.5",0.416595648545496
"1099","L1 7","gp",17,"-0.5","0","-","-",3981,"L1","0.5",-0.263747600387238
"1104","L1 7","gp",4,"0.5","0","-","-",4410,"L1","-0.5",-0.089602460893119
"1111","L1 7","gp",18,"0.5","0","-","-",4575,"L1","0.5",-0.0226235610876888
"1114","L1 7","gp",13,"-0.5","0","-","-",6012,"L1","0.5",0.560701766308694
"1117","L1 7","gp",22,"0.5","0","-","-",3662,"L1","0.5",-0.393240140011069
"1131","L1 7","gp",1,"-0.5","0","-","-",3848,"L1","0.5",-0.317736652957675
"1137","L1 7","gp",7,"-0.5","0","-","-",3109,"L1","-0.5",-0.617720937540784
"1144","L1 7","gp",5,"-0.5","0","-","-",5390,"L1","0.5",0.308211610678527
"1148","L1 7","gp",19,"-0.5","0","-","-",7079,"L1","-0.5",0.993831985050476
"1156","L1 7","gp",11,"-0.5","0","-","-",4358,"L1","-0.5",-0.110710962649982
"1163","L1 7","gp",9,"-0.5","0","-","-",5155,"L1","0.5",0.212817420046551
"1171","L1 7","gp",15,"-0.5","0","-","-",4431,"L1","-0.5",-0.0810778736451552
"1178","L1 7","gp",12,"0.5","0","-","-",3390,"L1","-0.5",-0.503653841508506
"1185","L1 7","gp",23,"-0.5","0","-","-",7468,"L1","-0.5",1.15173981550085
"1203","L1 7","gp",6,"0.5","0","-","-",4691,"L1","0.5",0.0244646351391591
"1206","L1 7","gp",10,"0.5","0","-","-",2968,"L1","0.5",-0.67495745191997
"1213","L1 7","gp",16,"0.5","0","-","-",5496,"L1","-0.5",0.35124047964444
"1219","L1 7","gp",2,"0.5","0","-","-",4309,"L1","0.5",-0.130601666228564
"1223","L1 7","gp",8,"0.5","0","-","-",3715,"L1","-0.5",-0.371725705528113
"1230","L1 7","gp",21,"-0.5","0","-","-",6420,"L1","0.5",0.726322318554849
"1237","L1 7","gp",14,"0.5","0","-","-",2886,"L1","0.5",-0.708243935459638
"1244","L1 7","gp",24,"0.5","0","-","-",4844,"L1","-0.5",0.0865723422314671
"1247","L1 7","gp",20,"0.5","0","-","-",3490,"L1","-0.5",-0.463060568899154
"1279","L1 8","gp",23,"0.5","0","-","-",6232,"L1","-0.5",0.650006966049268
"1284","L1 8","gp",24,"-0.5","0","-","-",3872,"L1","0.5",-0.307994267531431
"1290","L1 8","gp",7,"0.5","0","-","-",4641,"L1","-0.5",0.00416799883448329
"1293","L1 8","gp",4,"-0.5","0","-","-",6305,"L1","0.5",0.679640055054095
"1300","L1 8","gp",5,"0.5","0","-","-",7006,"L1","0.5",0.96419889604565
"1307","L1 8","gp",13,"0.5","0","-","-",7778,"L1","0.5",1.27757896058984
"1314","L1 8","gp",2,"-0.5","0","-","-",5274,"L1","-0.5",0.261123414451679
"1318","L1 8","gp",15,"0.5","0","-","-",4925,"L1","-0.5",0.119452893045042
"1332","L1 8","gp",9,"0.5","0","-","-",8302,"L1","0.5",1.49028770906285
"1342","L1 8","gp",11,"0.5","0","-","-",3438,"L1","-0.5",-0.484169070656017
"1349","L1 8","gp",19,"0.5","0","-","-",5899,"L1","-0.5",0.514831368260127
"1353","L1 8","gp",12,"-0.5","0","-","-",7809,"L1","0.5",1.29016287509874
"1356","L1 8","gp",3,"0.5","0","-","-",2689,"L1","-0.5",-0.788212682500061
"1363","L1 8","gp",10,"-0.5","0","-","-",7528,"L1","-0.5",1.17609577906647
"1369","L1 8","gp",17,"0.5","0","-","-",4906,"L1","0.5",0.111740171249265
"1381","L1 8","gp",16,"-0.5","0","-","-",8444,"L1","0.5",1.54793015616813
"1388","L1 8","gp",18,"-0.5","0","-","-",4533,"L1","-0.5",-0.0396727355836165
"1391","L1 8","gp",8,"-0.5","0","-","-",6370,"L1","0.5",0.706025682250173
"1401","L1 8","gp",22,"-0.5","0","-","-",6598,"L1","-0.5",0.798578343799495
"1409","L1 8","gp",14,"-0.5","0","-","-",4363,"L1","-0.5",-0.108681299019514
"1412","L1 8","gp",21,"0.5","0","-","-",8711,"L1","0.5",1.6563141940351
"1423","L1 8","gp",1,"0.5","0","-","-",4371,"L1","0.5",-0.105433837210766
"1434","L1 8","gp",6,"-0.5","0","-","-",7045,"L1","-0.5",0.980030272363297
"1437","L1 8","gp",20,"-0.5","0","-","-",6515,"L1","0.5",0.764885927533733
"1455","L1 9","gp",6,"0.5","0","-","-",3668,"L1","-0.5",-0.390804543654508
"1459","L1 9","gp",21,"-0.5","0","-","-",3561,"L1","-0.5",-0.434239345346515
"1466","L1 9","gp",11,"-0.5","0","-","-",3274,"L1","0.5",-0.550742037735354
"1469","L1 9","gp",9,"-0.5","0","-","-",3906,"L1","-0.5",-0.294192554844251
"1475","L1 9","gp",15,"-0.5","0","-","-",1759,"L1","0.5",-1.16573011776703
"1481","L1 9","gp",24,"0.5","0","-","-",2261,"L1","0.5",-0.961951889268086
"1489","L1 9","gp",19,"-0.5","0","-","-",3278,"L1","0.5",-0.54911830683098
"1498","L1 9","gp",16,"0.5","0","-","-",3657,"L1","0.5",-0.395269803641537
"1509","L1 9","gp",12,"0.5","0","-","-",2346,"L1","0.5",-0.927447607550137
"1515","L1 9","gp",17,"-0.5","0","-","-",2438,"L1","-0.5",-0.890101796749533
"1519","L1 9","gp",8,"0.5","0","-","-",1924,"L1","0.5",-1.0987512179616
"1528","L1 9","gp",23,"-0.5","0","-","-",3034,"L1","0.5",-0.648165891997798
"1531","L1 9","gp",10,"0.5","0","-","-",2237,"L1","-0.5",-0.97169427469433
"1539","L1 9","gp",2,"0.5","0","-","-",2298,"L1","-0.5",-0.946932378402626
"1550","L1 9","gp",14,"0.5","0","-","-",1863,"L1","-0.5",-1.12351311425331
"1560","L1 9","gp",20,"0.5","0","-","-",1826,"L1","0.5",-1.13853262511877
"1568","L1 9","gp",3,"-0.5","0","-","-",4858,"L1","0.5",0.0922554003967764
"1571","L1 9","gp",22,"0.5","0","-","-",4307,"L1","-0.5",-0.131413531680751
"1589","L1 9","gp",4,"0.5","0","-","-",2224,"L1","0.5",-0.976971400133546
"1597","L1 9","gp",18,"0.5","0","-","-",1731,"L1","-0.5",-1.17709623409765
"1603","L1 9","gp",1,"-0.5","0","-","-",5279,"L1","-0.5",0.263153078082147
"1606","L1 9","gp",5,"-0.5","0","-","-",1893,"L1","-0.5",-1.1113351324705
"1610","L1 9","gp",7,"-0.5","0","-","-",1893,"L1","0.5",-1.1113351324705
"1614","L1 9","gp",13,"-0.5","0","-","-",2852,"L1","-0.5",-0.722045648146818
"1634","L1 10","gp",23,"0.5","0","-","-",3322,"L1","0.5",-0.531257266882865
"1637","L1 10","gp",19,"0.5","0","-","-",3324,"L1","0.5",-0.530445401430678
"1644","L1 10","gp",1,"0.5","0","-","-",2786,"L1","-0.5",-0.74883720806899
"1647","L1 10","gp",13,"0.5","0","-","-",3364,"L1","-0.5",-0.514208092386937
"1654","L1 10","gp",11,"0.5","0","-","-",3327,"L1","0.5",-0.529227603252397
"1662","L1 10","gp",3,"0.5","0","-","-",3137,"L1","0.5",-0.606354821210165
"1669","L1 10","gp",20,"-0.5","0","-","-",1933,"L1","-0.5",-1.09509782342676
"1682","L1 10","gp",7,"0.5","0","-","-",2838,"L1","0.5",-0.727728706312127
"1694","L1 10","gp",5,"0.5","0","-","-",3016,"L1","-0.5",-0.655472681067481
"1697","L1 10","gp",18,"-0.5","0","-","-",2244,"L1","0.5",-0.968852745611676
"1704","L1 10","gp",10,"-0.5","0","-","-",2871,"L1","0.5",-0.714332926351041
"1707","L1 10","gp",24,"-0.5","0","-","-",3821,"L1","-0.5",-0.3286968365622
"1711","L1 10","gp",9,"0.5","0","-","-",2206,"L1","-0.5",-0.984278189203229
"1717","L1 10","gp",2,"-0.5","0","-","-",3470,"L1","0.5",-0.471179223421025
"1725","L1 10","gp",12,"-0.5","0","-","-",4270,"L1","-0.5",-0.146433042546211
"1729","L1 10","gp",17,"0.5","0","-","-",2763,"L1","-0.5",-0.758173660769141
"1733","L1 10","gp",22,"-0.5","0","-","-",12641,"L1","0.5",3.25162980758262
"1740","L1 10","gp",16,"-0.5","0","-","-",2394,"L1","-0.5",-0.907962836697648
"1747","L1 10","gp",4,"-0.5","0","-","-",2996,"L1","-0.5",-0.663591335589351
"1762","L1 10","gp",8,"-0.5","0","-","-",3073,"L1","-0.5",-0.632334515680151
"1770","L1 10","gp",15,"0.5","0","-","-",4474,"L1","0.5",-0.063622766423134
"1780","L1 10","gp",6,"-0.5","0","-","-",7684,"L1","0.5",1.23942128433705
"1794","L1 10","gp",21,"0.5","0","-","-",1074,"L1","-0.5",-1.44379403514109
"1797","L1 10","gp",14,"-0.5","0","-","-",2316,"L1","0.5",-0.939625589332942
"1815","L1 11","gp",19,"-0.5","0","-","-",3279,"L1","-0.5",-0.548712374104886
"1821","L1 11","gp",11,"-0.5","0","-","-",2995,"L1","-0.5",-0.663997268315445
"1827","L1 11","gp",7,"-0.5","0","-","-",3600,"L1","-0.5",-0.418407969028867
"1837","L1 11","gp",8,"0.5","0","-","-",2706,"L1","-0.5",-0.781311826156471
"1848","L1 11","gp",14,"0.5","0","-","-",3109,"L1","0.5",-0.617720937540784
"1856","L1 11","gp",12,"0.5","0","-","-",2967,"L1","-0.5",-0.675363384646063
"1859","L1 11","gp",15,"-0.5","0","-","-",4749,"L1","-0.5",0.0480087332525831
"1867","L1 11","gp",24,"0.5","0","-","-",3191,"L1","-0.5",-0.584434454001116
"1873","L1 11","gp",13,"-0.5","0","-","-",4193,"L1","0.5",-0.177689862455412
"1876","L1 11","gp",23,"-0.5","0","-","-",3415,"L1","-0.5",-0.493505523356168
"1880","L1 11","gp",16,"0.5","0","-","-",5233,"L1","-0.5",0.244480172681845
"1884","L1 11","gp",9,"-0.5","0","-","-",4526,"L1","0.5",-0.0425142646662711
"1891","L1 11","gp",17,"-0.5","0","-","-",3022,"L1","0.5",-0.65303708471092
"1897","L1 11","gp",22,"0.5","0","-","-",3210,"L1","0.5",-0.576721732205339
"1900","L1 11","gp",5,"-0.5","0","-","-",5435,"L1","0.5",0.326478583352735
"1904","L1 11","gp",21,"-0.5","0","-","-",3656,"L1","0.5",-0.39567573636763
"1914","L1 11","gp",18,"0.5","0","-","-",1977,"L1","0.5",-1.07723678347864
"1925","L1 11","gp",1,"-0.5","0","-","-",4087,"L1","0.5",-0.220718731421325
"1936","L1 11","gp",20,"0.5","0","-","-",1941,"L1","-0.5",-1.09185036161801
"1945","L1 11","gp",10,"0.5","0","-","-",4306,"L1","0.5",-0.131819464406845
"1948","L1 11","gp",4,"0.5","0","-","-",2151,"L1","-0.5",-1.00660448913837
"1956","L1 11","gp",2,"0.5","0","-","-",2578,"L1","0.5",-0.833271215096441
"1966","L1 11","gp",3,"-0.5","0","-","-",3701,"L1","-0.5",-0.377408763693422
"1977","L1 11","gp",6,"0.5","0","-","-",4051,"L1","0.5",-0.235332309560691
"1994","L1 12","gp",13,"0.5","0","-","-",5306,"L1","0.5",0.274113261686672
"1997","L1 12","gp",5,"0.5","0","-","-",5089,"L1","0.5",0.186025860124379
"2004","L1 12","gp",1,"0.5","0","-","-",3199,"L1","0.5",-0.581186992192367
"2010","L1 12","gp",3,"0.5","0","-","-",3676,"L1","-0.5",-0.38755708184576
"2017","L1 12","gp",10,"-0.5","0","-","-",9810,"L1","-0.5",2.10243426001187
"2026","L1 12","gp",23,"0.5","0","-","-",2710,"L1","-0.5",-0.779688095252097
"2033","L1 12","gp",19,"0.5","0","-","-",4359,"L1","-0.5",-0.110305029923888
"2037","L1 12","gp",2,"-0.5","0","-","-",5840,"L1","-0.5",0.49088133742061
"2060","L1 12","gp",22,"-0.5","0","-","-",3591,"L1","-0.5",-0.422061363563709
"2068","L1 12","gp",20,"-0.5","0","-","-",5824,"L1","0.5",0.484386413803113
"2072","L1 12","gp",11,"0.5","0","-","-",4620,"L1","-0.5",-0.00435658841348056
"2079","L1 12","gp",24,"-0.5","0","-","-",3377,"L1","0.5",-0.508930966947722
"2086","L1 12","gp",18,"-0.5","0","-","-",6482,"L1","-0.5",0.751490147572647
"2093","L1 12","gp",4,"-0.5","0","-","-",2373,"L1","0.5",-0.916487423945612
"2110","L1 12","gp",7,"0.5","0","-","-",2949,"L1","-0.5",-0.682670173715747
"2113","L1 12","gp",8,"-0.5","0","-","-",5621,"L1","0.5",0.401982070406129
"2117","L1 12","gp",16,"-0.5","0","-","-",3653,"L1","0.5",-0.396893534545911
"2120","L1 12","gp",14,"-0.5","0","-","-",3988,"L1","-0.5",-0.260906071304583
"2130","L1 12","gp",21,"0.5","0","-","-",3360,"L1","0.5",-0.515831823291311
"2134","L1 12","gp",17,"0.5","0","-","-",2369,"L1","0.5",-0.918111154849986
"2137","L1 12","gp",12,"-0.5","0","-","-",4045,"L1","0.5",-0.237767905917253
"2145","L1 12","gp",6,"-0.5","0","-","-",5336,"L1","-0.5",0.286291243469477
"2152","L1 12","gp",9,"0.5","0","-","-",2976,"L1","0.5",-0.671709990111222
"2158","L1 12","gp",15,"0.5","0","-","-",2772,"L1","-0.5",-0.754520266234299
"2175","L1 13","gp",24,"0.5","0","-","-",3708,"L1","0.5",-0.374567234610768
"2179","L1 13","gp",12,"0.5","0","-","-",4317,"L1","0.5",-0.127354204419816
"2190","L1 13","gp",4,"0.5","0","-","-",4336,"L1","0.5",-0.119641482624039
"2198","L1 13","gp",7,"-0.5","0","-","-",2347,"L1","0.5",-0.927041674824044
"2204","L1 13","gp",14,"0.5","0","-","-",3931,"L1","-0.5",-0.284044236691913
"2212","L1 13","gp",8,"0.5","0","-","-",3724,"L1","0.5",-0.368072310993271
"2218","L1 13","gp",2,"0.5","0","-","-",2731,"L1","-0.5",-0.771163508004133
"2229","L1 13","gp",19,"-0.5","0","-","-",3818,"L1","0.5",-0.329914634740481
"2232","L1 13","gp",16,"0.5","0","-","-",3495,"L1","0.5",-0.461030905268687
"2239","L1 13","gp",21,"-0.5","0","-","-",4732,"L1","-0.5",0.0411078769089933
"2246","L1 13","gp",11,"-0.5","0","-","-",3735,"L1","0.5",-0.363607051006243
"2252","L1 13","gp",10,"0.5","0","-","-",3757,"L1","-0.5",-0.354676531032185
"2258","L1 13","gp",23,"-0.5","0","-","-",7727,"L1","0.5",1.25687639155908
"2262","L1 13","gp",13,"-0.5","0","-","-",9750,"L1","-0.5",2.07807829644626
"2266","L1 13","gp",22,"0.5","0","-","-",4565,"L1","-0.5",-0.026682888348624
"2269","L1 13","gp",9,"-0.5","0","-","-",9058,"L1","-0.5",1.79717284998955
"2272","L1 13","gp",1,"-0.5","0","-","-",5611,"L1","-0.5",0.397922743145194
"2275","L1 13","gp",20,"0.5","0","-","-",3348,"L1","0.5",-0.520703016004433
"2282","L1 13","gp",15,"-0.5","0","-","-",6835,"L1","0.5",0.894784399883658
