"","subject","type","item","condition","question","correct_answer","response","rt","group","disamb_type","z_scored_rt"
"26","L1 1","gap",22,"0.5","!","{Yes}",0,3000,"L1","-0.5",0.513911719129086
"43","L1 1","gap",16,"0.5","!","{No}",1,2705,"L1","-0.5",0.291451355376148
"47","L1 1","gap",21,"-0.5","!","{Yes}",0,1914,"L1","-0.5",-0.305044060652916
"51","L1 1","gap",19,"-0.5","!","{Yes}",0,2490,"L1","-0.5",0.129319225861295
"71","L1 1","gap",13,"-0.5","!","{Yes}",0,2284,"L1","-0.5",-0.0260259773017736
"82","L1 1","gap",14,"0.5","!","{Yes}",0,1526,"L1","-0.5",-0.597635996707627
"96","L1 1","gap",20,"0.5","!","{No}",1,1910,"L1","-0.5",-0.30806047236482
"119","L1 1","gap",24,"0.5","!","{No}",1,3237,"L1","-0.5",0.692634113059412
"123","L1 1","gap",23,"-0.5","!","{Yes}",0,2275,"L1","-0.5",-0.0328129036535582
"162","L1 1","gap",18,"0.5","!","{No}",1,2996,"L1","-0.5",0.510895307417181
"165","L1 1","gap",17,"-0.5","!","{No}",1,3227,"L1","-0.5",0.685093083779651
"179","L1 1","gap",15,"-0.5","!","{No}",1,1968,"L1","-0.5",-0.264322502542209
"205","L1 2","gap",14,"-0.5","!","{Yes}",0,2003,"L1","-0.5",-0.237928900063047
"213","L1 2","gap",20,"-0.5","!","{No}",1,2414,"L1","-0.5",0.0720074033351142
"237","L1 2","gap",23,"0.5","!","{Yes}",0,3213,"L1","-0.5",0.674535642787986
"279","L1 2","gap",18,"-0.5","!","{Yes}",0,1017,"L1","-0.5",-0.981474387047442
"283","L1 2","gap",17,"0.5","!","{Yes}",0,2780,"L1","-0.5",0.348009074974352
"300","L1 2","gap",21,"0.5","!","{Yes}",0,1187,"L1","-0.5",-0.853276889291512
"304","L1 2","gap",15,"0.5","!","{Yes}",0,1954,"L1","-0.5",-0.274879943533874
"310","L1 2","gap",19,"0.5","!","{No}",1,1110,"L1","-0.5",-0.911342814745668
"318","L1 2","gap",13,"0.5","!","{Yes}",0,931,"L1","-0.5",-1.04632723885338
"327","L1 2","gap",24,"-0.5","!","{No}",1,936,"L1","-0.5",-1.0425567242135
"334","L1 2","gap",22,"-0.5","!","{No}",1,2509,"L1","-0.5",0.14364718149284
"338","L1 2","gap",16,"-0.5","!","{Yes}",0,1518,"L1","-0.5",-0.603668820131436
"385","L1 3","gap",13,"-0.5","!","{Yes}",0,2733,"L1","-0.5",0.312566237359477
"391","L1 3","gap",14,"0.5","!","{Yes}",0,2678,"L1","-0.5",0.271090576320794
"416","L1 3","gap",23,"-0.5","!","{Yes}",0,6209,"L1","-0.5",2.93382801500426
"423","L1 3","gap",24,"0.5","!","{No}",1,2442,"L1","-0.5",0.0931222853184439
"444","L1 3","gap",16,"0.5","!","{No}",1,4303,"L1","-0.5",1.49650783428189
"459","L1 3","gap",20,"0.5","!","{Yes}",0,2795,"L1","-0.5",0.359320618893993
"467","L1 3","gap",15,"-0.5","!","{Yes}",0,3680,"L1","-0.5",1.02670171015281
"485","L1 3","gap",19,"-0.5","!","{Yes}",0,2211,"L1","-0.5",-0.081075491044026
"493","L1 3","gap",22,"0.5","!","{No}",1,1633,"L1","-0.5",-0.516946983414189
"496","L1 3","gap",17,"-0.5","!","{No}",1,1418,"L1","-0.5",-0.679079112929042
"512","L1 3","gap",21,"-0.5","!","{Yes}",0,14076,"L1","-0.5",8.86635574939193
"522","L1 3","gap",18,"0.5","!","{Yes}",0,3490,"L1","-0.5",0.883422153837355
"555","L1 4","gap",17,"0.5","!","{Yes}",0,1437,"L1","-0.5",-0.664751157297497
"566","L1 4","gap",20,"-0.5","!","{No}",1,2275,"L1","-0.5",-0.0328129036535582
"569","L1 4","gap",24,"-0.5","!","{Yes}",0,1499,"L1","-0.5",-0.617996775762981
"582","L1 4","gap",19,"0.5","!","{Yes}",0,1145,"L1","-0.5",-0.884949212266506
"610","L1 4","gap",13,"0.5","!","{Yes}",0,1423,"L1","-0.5",-0.675308598289162
"648","L1 4","gap",22,"-0.5","!","{Yes}",0,1518,"L1","-0.5",-0.603668820131436
"659","L1 4","gap",14,"-0.5","!","{Yes}",0,1213,"L1","-0.5",-0.833670213164134
"666","L1 4","gap",15,"0.5","!","{No}",1,2305,"L1","-0.5",-0.0101898158142764
"677","L1 4","gap",18,"-0.5","!","{Yes}",0,1635,"L1","-0.5",-0.515438777558237
"681","L1 4","gap",16,"-0.5","!","{Yes}",0,1869,"L1","-0.5",-0.338978692411839
"704","L1 4","gap",23,"0.5","!","{Yes}",0,1052,"L1","-0.5",-0.95508078456828
"718","L1 4","gap",21,"0.5","!","{Yes}",0,1157,"L1","-0.5",-0.875899977130794
"740","L1 5","gap",24,"0.5","!","{Yes}",0,2421,"L1","-0.5",0.0772861238309466
"743","L1 5","gap",15,"-0.5","!","{Yes}",0,1540,"L1","-0.5",-0.587078555715963
"753","L1 5","gap",17,"-0.5","!","{Yes}",0,2373,"L1","-0.5",0.0410891832880957
"804","L1 5","gap",23,"-0.5","!","{Yes}",0,2801,"L1","-0.5",0.36384523646185
"812","L1 5","gap",22,"0.5","!","{Yes}",0,2199,"L1","-0.5",-0.0901247261797388
"831","L1 5","gap",21,"-0.5","!","{Yes}",0,1830,"L1","-0.5",-0.368388706602905
"839","L1 5","gap",14,"0.5","!","{Yes}",0,1296,"L1","-0.5",-0.771079670142121
"849","L1 5","gap",16,"0.5","!","{Yes}",0,1661,"L1","-0.5",-0.495832101430859
"860","L1 5","gap",18,"0.5","!","{No}",1,1527,"L1","-0.5",-0.596881893779651
"867","L1 5","gap",20,"0.5","!","{Yes}",0,3016,"L1","-0.5",0.525977365976703
"870","L1 5","gap",19,"-0.5","!","{Yes}",0,1838,"L1","-0.5",-0.362355883179097
"881","L1 5","gap",13,"-0.5","!","{Yes}",0,1664,"L1","-0.5",-0.493569792646931
"923","L1 6","gap",24,"-0.5","!","{No}",1,1230,"L1","-0.5",-0.820850463388541
"929","L1 6","gap",15,"0.5","!","{Yes}",0,2846,"L1","-0.5",0.397779868220772
